Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Arsenal,21,7.0,105,64,63,31,11,62,119,52.1,57,79,35,44,53,158,248,7
vs Aston Villa,23,7.0,150,86,70,61,19,72,109,66.1,37,75,25,50,68,218,199,4
vs Bournemouth,23,7.0,130,87,65,49,16,71,130,54.6,59,94,28,66,47,177,241,4
vs Brentford,20,7.0,118,70,53,45,20,61,107,57.0,46,38,14,24,51,169,199,5
vs Brighton,20,7.0,136,72,72,45,19,68,119,57.1,51,62,15,47,50,186,161,9
vs Burnley,21,7.0,90,55,43,28,19,36,65,55.4,29,63,15,48,34,124,163,1
vs Chelsea,25,7.0,131,82,62,52,17,63,115,54.8,52,73,34,39,57,188,200,5
vs Crystal Palace,20,7.0,84,48,28,41,15,28,57,49.1,29,67,21,46,65,149,182,5
vs Everton,19,7.0,136,68,75,42,19,63,116,54.3,53,73,25,48,60,196,205,4
vs Fulham,21,7.0,106,57,46,46,14,53,97,54.6,44,85,22,63,59,165,178,4
vs Leeds United,21,7.0,128,75,62,45,21,62,102,60.8,40,93,27,66,37,165,150,7
vs Liverpool,22,7.0,125,75,64,48,13,63,113,55.8,50,82,33,49,77,202,199,5
vs Manchester City,22,7.0,145,93,65,58,22,68,144,47.2,76,90,17,73,60,205,132,9
vs Manchester Utd,20,7.0,112,69,56,45,11,55,91,60.4,36,82,26,56,56,168,207,3
vs Newcastle Utd,21,7.0,99,57,48,45,6,51,91,56.0,40,73,26,47,74,173,220,3
vs Nott'ham Forest,24,7.0,106,64,50,37,19,52,104,50.0,52,71,24,47,50,156,199,2
vs Sunderland,23,7.0,97,57,43,41,13,37,78,47.4,41,79,19,60,35,132,182,3
vs Tottenham,19,7.0,142,76,72,54,16,78,152,51.3,74,67,15,52,48,190,230,4
vs West Ham,24,7.0,124,79,52,51,21,62,109,56.9,47,65,16,49,44,168,180,3
vs Wolves,23,7.0,112,71,39,53,20,46,90,51.1,44,65,16,49,61,173,191,5
