Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Arsenal,1,7.0,14,2,0,6,0,12.8,0.41,-1.2,-0.17,34,111,30.6,199,24,41.7,37.5,57,49.1,37.6,109,7,6.4,9,1.29,11.7
vs Aston Villa,2,7.0,6,0,0,1,0,5.3,0.23,-0.7,-0.09,36,105,34.3,172,32,39.0,36.3,51,74.5,52.2,92,12,13.0,8,1.14,13.5
vs Bournemouth,1,7.0,11,1,1,0,0,7.9,0.23,-3.1,-0.44,42,113,37.2,233,33,36.5,35.7,58,48.3,38.7,112,7,6.3,14,2.0,15.9
vs Brentford,1,7.0,9,1,0,0,0,9.6,0.37,0.6,0.09,25,67,37.3,193,31,28.5,32.2,39,30.8,30.9,81,13,16.0,8,1.14,13.0
vs Brighton,1,7.0,10,2,0,2,0,11.4,0.31,1.4,0.2,57,156,36.5,274,37,43.1,37.0,67,56.7,45.0,78,13,16.7,14,2.0,14.3
vs Burnley,1,7.0,7,0,0,1,0,6.1,0.35,-0.9,-0.13,27,57,47.4,189,21,27.0,31.6,41,14.6,22.8,64,5,7.8,8,1.14,15.5
vs Chelsea,2,7.0,13,1,0,5,0,15.1,0.48,2.1,0.29,35,107,32.7,202,35,41.1,35.9,50,48.0,37.0,86,4,4.7,11,1.57,15.0
vs Crystal Palace,1,7.0,9,1,0,2,0,10.3,0.28,1.3,0.19,28,88,31.8,215,33,31.6,32.7,50,40.0,38.4,76,6,7.9,13,1.86,15.6
vs Everton,1,7.0,9,1,0,2,0,7.6,0.28,-1.4,-0.19,28,108,25.9,216,33,40.3,36.7,53,39.6,30.7,87,4,4.6,1,0.14,11.7
vs Fulham,1,7.0,8,0,0,2,2,5.8,0.31,-0.2,-0.03,22,91,24.2,207,31,35.7,35.7,51,33.3,30.2,107,4,3.7,6,0.86,14.1
vs Leeds United,2,7.0,7,1,1,2,0,6.5,0.25,-0.5,-0.07,26,76,34.2,187,34,27.8,30.2,58,41.4,37.2,81,6,7.4,8,1.14,15.1
vs Liverpool,2,7.0,13,1,1,0,0,10.6,0.32,-2.4,-0.34,41,175,23.4,217,34,55.8,44.2,79,68.4,51.0,101,7,6.9,14,2.0,15.5
vs Manchester City,2,7.0,15,0,0,0,2,10.6,0.33,-2.4,-0.34,37,112,33.0,210,25,39.0,33.9,51,58.8,46.5,63,5,7.9,9,1.29,16.8
vs Manchester Utd,2,7.0,9,1,0,1,2,9.4,0.25,2.4,0.34,33,128,25.8,199,31,41.2,36.2,66,69.7,50.6,103,4,3.9,6,0.86,12.2
vs Newcastle Utd,1,7.0,6,1,0,1,0,9.2,0.34,3.2,0.46,34,147,23.1,211,37,54.0,40.9,55,60.0,43.8,119,7,5.9,14,2.0,15.7
vs Nott'ham Forest,1,7.0,5,0,0,2,0,6.0,0.23,1.0,0.15,19,86,22.1,203,48,33.0,33.8,55,34.5,32.1,141,10,7.1,7,1.0,11.7
vs Sunderland,1,7.0,7,1,0,1,0,6.7,0.32,-0.3,-0.04,36,126,28.6,211,27,45.5,37.1,57,52.6,43.1,97,5,5.2,6,0.86,13.0
vs Tottenham,1,7.0,13,0,0,2,1,10.5,0.4,-1.5,-0.22,37,144,25.7,193,23,52.3,41.0,70,61.4,46.7,132,8,6.1,12,1.71,13.4
vs West Ham,2,7.0,6,1,0,1,0,6.9,0.24,0.9,0.12,28,79,35.4,181,29,37.6,35.1,45,24.4,25.7,92,3,3.3,5,0.71,11.9
vs Wolves,2,7.0,5,0,0,1,1,5.4,0.25,1.4,0.2,28,93,30.1,187,31,38.5,35.9,44,47.7,41.4,99,9,9.1,12,1.71,14.5
