Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Arsenal,21,7.0,2695,2364,325,86,11,19,70,139,22,12,8,0,2099,6,49
vs Aston Villa,23,7.0,2666,2368,283,81,16,25,119,101,37,28,3,1,2082,15,58
vs Bournemouth,23,7.0,3181,2825,346,94,8,9,120,151,25,14,9,0,2443,10,71
vs Brentford,20,7.0,3968,3648,310,92,16,24,122,134,29,18,2,0,3318,10,73
vs Brighton,20,7.0,3370,3023,340,102,8,12,111,126,28,23,1,0,2718,7,72
vs Burnley,21,7.0,4439,4114,315,81,16,17,185,129,50,27,12,2,3769,10,72
vs Chelsea,25,7.0,2755,2416,327,81,18,16,110,144,32,16,5,0,2176,12,44
vs Crystal Palace,20,7.0,3925,3580,339,84,18,19,170,146,43,23,14,0,3266,6,69
vs Everton,19,7.0,3518,3171,332,74,13,15,107,161,28,14,11,0,2833,15,56
vs Fulham,21,7.0,3319,2972,331,108,16,23,107,122,35,26,3,2,2708,16,52
vs Leeds United,21,7.0,3746,3403,336,75,6,10,139,168,21,17,3,0,3084,7,57
vs Liverpool,22,7.0,2492,2153,329,68,8,7,114,126,36,20,9,1,1770,10,59
vs Manchester City,22,7.0,3012,2706,291,61,17,33,115,128,29,23,3,2,2391,15,46
vs Manchester Utd,20,7.0,3083,2745,325,78,17,19,104,137,28,17,6,0,2390,13,61
vs Newcastle Utd,21,7.0,3239,2918,313,87,13,13,110,127,31,22,4,0,2523,8,49
vs Nott'ham Forest,24,7.0,3025,2720,299,83,11,16,143,112,37,21,11,0,2373,6,63
vs Sunderland,23,7.0,3731,3415,309,69,10,12,152,135,34,23,5,0,3047,7,61
vs Tottenham,19,7.0,2814,2465,341,91,7,13,104,123,37,21,10,1,2196,8,54
vs West Ham,24,7.0,3648,3334,305,80,13,15,161,116,51,42,3,1,2995,9,59
vs Wolves,23,7.0,3480,3118,351,99,18,16,148,154,42,31,5,1,2834,11,56
