Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,21,57.6,7.0,4490,397,1256,2013,1261,236,4488,136,57,41.9,62,45.6,2595,14492,7543,153,112,39,108,43,3023,289
Aston Villa,23,57.1,7.0,4270,481,1305,1919,1076,156,4270,125,37,29.6,72,57.6,2634,13123,6672,112,74,23,89,78,2864,273
Bournemouth,23,50.9,7.0,4219,395,1269,1873,1122,176,4218,153,59,38.6,71,46.4,2246,11827,6374,123,103,35,96,59,2559,265
Brentford,20,39.1,7.0,3347,482,1356,1372,658,121,3345,120,46,38.3,61,50.8,1520,8251,4096,81,53,28,109,57,1858,152
Brighton,20,47.0,7.0,3854,464,1397,1613,891,151,3851,135,51,37.8,68,50.4,2187,11913,6607,122,64,39,119,68,2385,235
Burnley,21,35.6,7.0,3295,518,1245,1378,699,101,3295,75,29,38.7,36,48.0,1587,6597,3431,52,37,15,88,54,1786,157
Chelsea,25,59.9,7.0,4788,453,1434,2321,1071,165,4787,136,52,38.2,63,46.3,2837,13585,7223,141,75,39,103,68,3393,275
Crystal Palace,20,41.3,7.0,3632,514,1405,1545,717,146,3631,71,29,40.8,28,39.4,1845,8779,4734,75,56,14,89,56,2133,214
Everton,19,46.3,7.0,3888,427,1287,1594,1042,172,3887,144,53,36.8,63,43.8,2151,10543,5053,111,87,38,122,73,2299,241
Fulham,21,50.6,7.0,4159,518,1518,1717,963,152,4159,112,44,39.3,53,47.3,2549,12953,6629,131,92,23,117,53,2713,246
Leeds United,21,45.3,7.0,3894,446,1345,1768,829,135,3893,120,40,33.3,62,51.7,1996,10347,5330,96,72,29,103,66,2427,203
Liverpool,22,61.6,7.0,4844,469,1499,2153,1229,190,4843,126,50,39.7,63,50.0,2838,14535,8073,173,104,50,108,62,3297,335
Manchester City,22,57.0,7.0,4844,473,1448,2222,1204,183,4844,166,76,45.8,68,41.0,2987,14748,7492,168,114,58,104,77,3452,266
Manchester Utd,20,53.0,7.0,4247,410,1251,1975,1055,185,4244,100,36,36.0,55,55.0,2313,11615,6220,148,85,45,104,57,2703,289
Newcastle Utd,21,49.3,7.0,3967,407,1243,1679,1088,164,3966,109,40,36.7,51,46.8,2241,10493,5219,111,68,32,106,48,2426,296
Nott'ham Forest,24,56.0,7.0,4663,451,1414,2022,1267,163,4663,117,52,44.4,52,44.4,2553,13238,7226,143,111,33,105,54,3209,327
Sunderland,23,44.0,7.0,3794,439,1292,1745,797,109,3793,81,41,50.6,37,45.7,2179,11069,5742,87,76,14,71,60,2290,208
Tottenham,19,55.6,7.0,4313,482,1447,1828,1086,184,4313,169,74,43.8,78,46.2,2373,13434,6578,130,92,32,129,64,2805,269
West Ham,24,46.0,7.0,3880,503,1387,1666,861,123,3879,131,47,35.9,62,47.3,1990,10835,5485,84,81,18,89,62,2447,218
Wolves,23,47.1,7.0,3992,504,1441,1800,798,134,3992,99,44,44.4,46,46.5,2049,10392,4910,82,63,15,112,66,2440,201
