Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,21,7.0,14,105,27,25.7,15.0,3.86,0.11,0.44,15.1,2,2,2,11.9,10.3,0.1,2.1,1.7
Aston Villa,23,7.0,6,76,23,30.3,10.86,3.29,0.08,0.26,17.7,2,0,0,5.9,5.9,0.08,0.1,0.1
Bournemouth,23,7.0,11,90,30,33.3,12.86,4.29,0.11,0.33,18.4,8,1,1,8.4,7.6,0.08,2.6,2.4
Brentford,20,7.0,9,55,23,41.8,7.86,3.29,0.15,0.35,14.6,0,1,2,8.4,6.9,0.13,0.6,1.1
Brighton,20,7.0,10,79,27,34.2,11.29,3.86,0.1,0.3,18.9,5,2,3,11.2,8.9,0.11,-1.2,-0.9
Burnley,21,7.0,7,56,18,32.1,8.0,2.57,0.13,0.39,17.1,3,0,0,4.9,4.9,0.09,2.1,2.1
Chelsea,25,7.0,13,89,30,33.7,12.71,4.29,0.13,0.4,16.8,4,1,1,10.9,10.1,0.12,2.1,1.9
Crystal Palace,20,7.0,9,87,33,37.9,12.43,4.71,0.09,0.24,16.4,0,1,1,12.7,11.9,0.14,-3.7,-3.9
Everton,19,7.0,9,82,24,29.3,11.71,3.43,0.1,0.33,16.3,3,1,1,9.7,8.9,0.11,-0.7,-0.9
Fulham,21,7.0,6,73,19,26.0,10.43,2.71,0.08,0.32,15.9,2,0,0,7.3,7.3,0.1,-1.3,-1.3
Leeds United,21,7.0,7,84,23,27.4,12.0,3.29,0.07,0.26,17.0,2,1,1,7.6,6.9,0.08,-0.6,-0.9
Liverpool,22,7.0,13,102,29,28.4,14.57,4.14,0.12,0.41,17.6,4,1,1,10.9,10.2,0.1,2.1,1.8
Manchester City,22,7.0,13,86,32,37.2,12.29,4.57,0.15,0.41,15.9,1,0,0,12.1,12.1,0.14,0.9,0.9
Manchester Utd,20,7.0,7,107,32,29.9,15.29,4.57,0.06,0.19,16.0,2,1,3,13.6,11.2,0.11,-6.6,-5.2
Newcastle Utd,21,7.0,6,79,24,30.4,11.29,3.43,0.06,0.21,18.8,1,1,1,8.4,7.6,0.1,-2.4,-2.6
Nott'ham Forest,24,7.0,5,80,28,35.0,11.43,4.0,0.06,0.18,17.2,1,0,0,6.6,6.6,0.08,-1.6,-1.6
Sunderland,23,7.0,7,69,18,26.1,9.86,2.57,0.09,0.33,15.6,0,1,1,6.7,5.9,0.09,0.3,0.1
Tottenham,19,7.0,12,77,26,33.8,11.0,3.71,0.16,0.46,15.3,2,0,0,7.4,7.4,0.1,4.6,4.6
West Ham,24,7.0,6,68,24,35.3,9.71,3.43,0.07,0.21,14.8,1,1,1,6.6,5.8,0.09,-0.6,-0.8
Wolves,23,7.0,4,66,23,34.8,9.43,3.29,0.06,0.17,16.6,3,0,0,6.1,6.1,0.09,-2.1,-2.1
