Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Alavés,22,8.0,155,19.37,110,15,11,9,7,3,13,1.62,8,0,0,2,3,0
Athletic Club,24,8.0,190,23.75,137,17,8,13,10,5,14,1.75,6,1,1,1,3,2
Atlético Madrid,21,8.0,187,23.37,138,14,14,9,9,3,24,3.0,14,1,2,4,3,0
Barcelona,24,8.0,301,37.62,229,20,20,18,10,4,38,4.75,29,4,1,2,1,1
Betis,25,8.0,205,25.62,161,11,15,8,4,6,21,2.62,17,1,1,2,0,0
Celta Vigo,24,8.0,178,22.25,144,16,5,8,2,3,12,1.5,5,1,0,4,1,1
Elche,26,8.0,139,17.37,103,12,11,6,5,2,17,2.12,10,2,3,1,1,0
Espanyol,22,9.0,219,24.33,156,25,9,15,14,0,24,2.67,17,3,0,1,3,0
Getafe,23,8.0,120,15.0,74,20,9,11,5,1,17,2.12,9,2,3,2,1,0
Girona,27,8.0,128,16.0,91,11,9,11,6,0,8,1.0,6,0,1,1,0,0
Levante,24,8.0,135,16.88,97,11,7,12,6,2,21,2.62,12,0,3,4,1,1
Mallorca,24,8.0,141,17.62,99,18,7,8,8,1,13,1.62,9,1,0,1,2,0
Osasuna,20,8.0,127,15.87,97,14,6,4,5,1,12,1.5,11,1,0,0,0,0
Oviedo,26,9.0,134,14.89,98,10,11,6,4,5,6,0.67,3,1,1,0,0,1
Rayo Vallecano,23,8.0,168,21.0,124,18,3,11,7,5,13,1.62,8,1,1,1,1,1
Real Madrid,22,8.0,273,34.12,208,11,22,17,10,5,35,4.37,26,0,4,0,3,2
Real Sociedad,25,8.0,205,25.62,152,22,11,11,5,4,13,1.62,11,0,1,1,0,0
Sevilla,28,8.0,151,18.87,117,14,6,6,8,0,24,3.0,20,1,2,0,1,0
Valencia,20,8.0,140,17.5,101,13,6,14,4,2,19,2.37,15,3,1,0,0,0
Villarreal,25,8.0,215,26.87,162,16,12,12,11,2,22,2.75,17,0,2,3,0,0
