Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Alavés,1,8.0,8,0,0,0,0,8.5,0.34,0.5,0.06,63,139,45.3,143,17,61.5,44.7,59,86.4,61.2,106,4,3.8,3,0.38,9.3
Athletic Club,1,8.0,9,0,0,1,1,8.6,0.33,0.6,0.07,24,99,24.2,201,36,35.8,33.4,43,62.8,49.6,81,6,7.4,18,2.25,19.8
Atlético Madrid,1,8.0,10,1,0,0,0,7.2,0.3,-2.8,-0.35,42,96,43.8,190,27,31.6,32.3,66,54.5,40.4,100,5,5.0,6,0.75,11.6
Barcelona,2,8.0,9,2,0,1,0,10.1,0.34,1.1,0.14,8,24,33.3,224,54,10.3,25.3,29,3.4,21.3,71,3,4.2,33,4.13,25.4
Betis,2,8.0,8,0,0,3,1,7.6,0.23,0.6,0.08,28,89,31.5,210,27,28.6,34.2,63,46.0,41.2,123,4,3.3,9,1.13,16.8
Celta Vigo,1,8.0,10,0,0,1,1,9.2,0.26,0.2,0.03,19,55,34.5,168,45,23.8,29.2,55,27.3,31.5,84,3,3.6,7,0.88,13.6
Elche,2,8.0,9,1,0,0,0,7.5,0.24,-1.5,-0.19,56,151,37.1,432,30,30.8,29.2,51,35.3,31.8,122,10,8.2,18,2.25,14.1
Espanyol,1,9.0,11,1,1,1,0,10.9,0.25,-0.1,-0.01,44,142,31.0,220,38,51.8,39.7,61,45.9,40.7,134,7,5.2,11,1.22,14.2
Getafe,1,8.0,11,0,0,3,1,8.0,0.29,-2.0,-0.25,62,187,33.2,161,9,81.4,50.6,63,88.9,59.4,95,4,4.2,7,0.88,15.0
Girona,2,8.0,17,2,1,1,0,16.6,0.34,-0.4,-0.05,22,110,20.0,199,41,40.7,30.4,77,37.7,32.4,126,2,1.6,7,0.88,14.0
Levante,2,8.0,14,1,0,4,1,14.5,0.3,1.5,0.18,43,122,35.2,187,38,42.2,37.4,83,51.8,44.0,143,5,3.5,9,1.13,12.7
Mallorca,1,8.0,13,2,0,2,0,14.1,0.32,1.1,0.14,49,137,35.8,201,22,51.7,39.0,70,47.1,38.3,116,7,6.0,5,0.63,11.2
Osasuna,1,8.0,8,1,0,0,0,10.2,0.28,2.2,0.27,50,116,43.1,182,39,38.5,34.8,76,60.5,43.2,129,7,5.4,17,2.13,17.7
Oviedo,1,9.0,16,0,0,5,0,20.0,0.32,4.0,0.44,53,130,40.8,253,33,41.9,34.5,75,32.0,30.8,142,4,2.8,20,2.22,17.2
Rayo Vallecano,1,8.0,10,2,0,1,0,11.2,0.31,1.2,0.14,51,138,37.0,233,32,49.4,39.9,70,32.9,31.2,94,10,10.6,23,2.88,18.3
Real Madrid,1,8.0,9,2,1,1,0,6.2,0.22,-2.8,-0.35,24,78,30.8,195,34,29.2,33.4,47,44.7,39.1,96,5,5.2,12,1.5,15.8
Real Sociedad,1,8.0,12,1,0,1,1,10.8,0.31,-0.2,-0.02,48,95,50.5,220,27,33.2,31.8,57,38.6,39.2,88,2,2.3,18,2.25,19.4
Sevilla,2,8.0,11,2,1,1,0,13.1,0.29,2.1,0.26,40,107,37.4,230,34,34.8,35.5,43,62.8,48.8,109,2,1.8,7,0.88,10.8
Valencia,1,8.0,14,0,0,2,0,10.8,0.29,-3.2,-0.4,30,102,29.4,213,37,33.8,31.8,66,45.5,40.6,115,10,8.7,14,1.75,15.8
Villarreal,2,8.0,8,2,0,0,0,8.7,0.24,0.7,0.09,10,60,16.7,132,26,31.8,39.0,58,31.0,32.2,85,3,3.5,8,1.0,11.0
