Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Angers,21,7.0,182,26.0,127,11,11,15,11,7,16,2.29,10,0,0,5,0,1
vs Auxerre,22,7.0,141,20.14,96,21,6,11,5,2,17,2.43,14,1,0,2,0,0
vs Brest,24,7.0,159,22.71,114,20,8,14,3,0,18,2.57,11,2,2,2,1,0
vs Le Havre,22,7.0,104,14.86,76,12,4,5,7,0,15,2.14,11,1,2,0,1,0
vs Lens,22,7.0,172,24.57,124,14,9,13,11,1,10,1.43,6,1,0,2,0,1
vs Lille,26,7.0,123,17.57,87,10,4,10,8,4,14,2.0,8,0,0,5,1,0
vs Lorient,22,7.0,135,19.29,104,9,5,9,7,1,27,3.86,21,1,1,3,1,0
vs Lyon,22,7.0,166,23.71,118,12,14,11,5,6,5,0.71,2,2,0,1,0,0
vs Marseille,28,7.0,120,17.14,86,9,9,8,6,2,9,1.29,8,0,0,1,0,0
vs Metz,23,7.0,184,26.29,135,8,13,12,12,4,28,4.0,23,0,2,1,2,0
vs Monaco,26,7.0,149,21.29,110,11,9,10,9,0,20,2.86,13,1,3,0,3,0
vs Nantes,21,7.0,196,28.0,150,15,8,16,5,2,12,1.71,8,1,1,1,1,0
vs Nice,26,7.0,153,21.86,111,16,6,12,4,4,18,2.57,11,1,3,2,1,0
vs Paris FC,24,7.0,141,20.14,90,16,5,14,11,5,22,3.14,15,2,0,2,2,1
vs Paris S-G,22,8.0,133,16.62,99,11,7,9,5,2,12,1.5,10,0,1,1,0,0
vs Rennes,25,7.0,183,26.14,135,15,11,12,7,3,18,2.57,12,1,2,2,1,0
vs Strasbourg,25,8.0,160,20.0,117,15,7,14,6,1,14,1.75,8,0,1,4,1,0
vs Toulouse,21,7.0,166,23.71,123,17,5,16,4,1,21,3.0,13,2,1,3,2,0
