Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Angers,21,7.0,4811,4501,301,77,15,31,138,121,43,21,15,0,4206,9,60
vs Auxerre,22,7.0,3630,3323,299,96,16,24,96,121,31,14,11,0,3044,8,66
vs Brest,24,7.0,3655,3307,334,89,14,34,145,125,42,26,13,0,3006,14,65
vs Le Havre,22,7.0,3694,3352,333,114,9,16,133,118,24,12,9,0,3090,9,58
vs Lens,22,7.0,3829,3478,346,99,8,15,125,136,40,15,13,0,3174,5,76
vs Lille,26,7.0,2981,2658,312,99,7,18,96,115,27,14,6,0,2379,11,60
vs Lorient,22,7.0,4208,3914,285,94,5,15,123,96,35,10,21,0,3642,9,51
vs Lyon,22,7.0,2937,2603,320,118,11,32,135,101,36,18,10,0,2362,14,65
vs Marseille,28,7.0,3058,2767,279,92,8,20,85,98,24,12,7,2,2571,12,40
vs Metz,23,7.0,3754,3455,287,79,15,16,118,123,38,23,5,0,3237,12,55
vs Monaco,26,7.0,3053,2717,329,100,11,20,114,109,36,11,17,0,2412,7,75
vs Nantes,21,7.0,3753,3405,324,86,13,32,164,133,47,20,17,0,3128,24,57
vs Nice,26,7.0,3101,2783,313,96,16,14,120,110,25,7,11,0,2479,5,44
vs Paris FC,24,7.0,3264,2939,316,84,8,19,107,119,32,9,21,0,2679,9,42
vs Paris S-G,22,8.0,2665,2348,308,79,9,15,74,102,24,11,5,0,2069,9,68
vs Rennes,25,7.0,3394,3069,313,99,10,24,145,118,31,14,11,1,2799,12,57
vs Strasbourg,25,8.0,4416,4048,355,103,5,25,146,145,35,17,8,0,3726,13,81
vs Toulouse,21,7.0,3966,3624,336,101,13,18,123,128,47,22,12,0,3363,6,48
