Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Augsburg,22,6.0,2915,2589,314,100,21,10,89,134,27,12,9,0,2265,12,55
vs Bayern Munich,20,6.0,2517,2234,273,73,5,9,70,98,30,15,9,0,1984,10,45
vs Dortmund,21,6.0,2618,2339,264,80,4,15,107,82,33,13,14,0,2034,15,53
vs Eint Frankfurt,22,6.0,2723,2421,279,57,14,13,75,118,17,12,2,0,2177,23,55
vs Freiburg,23,6.0,2755,2499,247,60,3,22,104,94,23,15,5,0,2184,9,37
vs Gladbach,23,7.0,3507,3161,332,104,5,12,107,132,32,18,7,0,2880,14,52
vs Hamburger SV,24,6.0,3273,2944,319,92,8,16,131,139,38,11,12,0,2704,10,51
vs Heidenheim,23,6.0,3410,3142,260,76,11,18,109,116,17,11,3,0,2859,8,55
vs Hoffenheim,20,6.0,2695,2368,319,94,4,21,107,130,37,27,6,1,2073,8,64
vs Köln,22,6.0,3146,2828,306,63,8,16,154,136,48,22,16,0,2548,12,55
vs Leverkusen,23,6.0,2714,2437,270,69,4,7,118,108,36,16,13,0,2182,7,52
vs Mainz 05,23,6.0,2495,2170,317,81,8,8,78,150,23,10,6,0,1878,8,54
vs RB Leipzig,21,6.0,3058,2770,278,75,19,22,118,109,29,19,7,0,2467,10,68
vs St. Pauli,17,6.0,3022,2750,260,80,13,11,50,105,18,8,4,0,2492,12,45
vs Stuttgart,22,6.0,2447,2152,282,74,5,8,114,106,35,23,9,0,1818,13,53
vs Union Berlin,19,7.0,4620,4275,335,112,12,16,140,119,35,13,9,0,3944,10,50
vs Werder Bremen,22,6.0,3481,3211,264,57,8,26,109,119,30,22,6,0,2903,6,57
vs Wolfsburg,21,6.0,2861,2531,315,61,5,19,151,134,46,25,8,0,2267,15,56
