Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Augsburg,22,26.5,6,540,90,100,6.0,66,80,40,26,25,27,1.0,11,13,-2,-0.33,6.3,13.4,-7.1,-1.18
Bayern Munich,20,28.7,6,540,90,100,6.0,66,82,39,28,20,26,3.0,25,3,22,3.67,16.4,3.2,13.2,2.19
Dortmund,21,26.8,6,540,90,100,6.0,66,83,38,27,17,25,2.33,12,4,8,1.33,10.1,5.1,5.0,0.84
Eint Frankfurt,22,24.7,6,540,90,100,6.0,66,81,36,30,20,24,1.5,17,16,1,0.17,10.1,9.0,1.1,0.18
Freiburg,23,27.8,6,540,90,100,6.0,66,82,38,27,19,27,1.33,9,9,0,0.0,9.2,8.0,1.2,0.19
Gladbach,23,26.2,7,630,90,100,7.0,77,81,42,35,19,28,0.43,6,15,-9,-1.29,8.1,9.4,-1.3,-0.18
Hamburger SV,24,26.2,6,540,90,100,6.0,66,81,34,30,18,24,1.33,6,8,-2,-0.33,6.4,9.9,-3.4,-0.57
Heidenheim,23,26.9,6,540,90,100,6.0,66,79,35,30,22,24,0.5,4,11,-7,-1.17,6.8,11.2,-4.4,-0.74
Hoffenheim,20,26.6,6,540,90,100,6.0,66,82,36,30,19,23,1.17,9,12,-3,-0.5,9.0,10.2,-1.2,-0.2
Köln,22,25.8,6,540,90,100,6.0,66,79,36,30,24,23,1.67,11,9,2,0.33,9.0,10.1,-1.0,-0.17
Leverkusen,23,26.5,6,540,90,100,6.0,66,80,38,27,23,27,1.83,12,8,4,0.67,10.1,6.3,3.7,0.62
Mainz 05,23,28.4,6,540,90,100,6.0,66,78,34,29,24,25,0.67,5,10,-5,-0.83,8.1,8.2,-0.1,-0.01
RB Leipzig,21,25.9,6,540,90,100,6.0,66,83,37,29,16,25,2.17,8,8,0,0.0,11.1,9.3,1.8,0.3
St. Pauli,17,27.2,6,540,90,100,6.0,66,83,40,26,18,28,1.17,8,9,-1,-0.17,7.0,7.5,-0.5,-0.09
Stuttgart,22,25.4,6,540,90,100,6.0,66,83,38,29,17,25,2.0,8,6,2,0.33,7.9,6.3,1.6,0.26
Union Berlin,19,27.9,7,630,90,100,7.0,77,82,45,31,20,32,1.43,11,14,-3,-0.43,9.1,13.4,-4.3,-0.62
Werder Bremen,22,25.1,6,540,90,100,6.0,66,82,38,27,19,27,1.17,9,14,-5,-0.83,8.7,12.8,-4.2,-0.69
Wolfsburg,21,25.9,6,540,90,100,6.0,66,82,40,26,19,28,0.83,8,10,-2,-0.33,9.5,9.5,0.0,0.0
