Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Augsburg,22,27.6,52.5,6,66,540,6.0,13,8,21,12,1,2,13,1,13.4,11.8,8.9,20.7,80,230,2.17,1.33,3.5,2.0,3.33,2.24,1.49,3.72,1.96,3.45
vs Bayern Munich,20,25.8,38.2,6,66,540,6.0,3,2,5,3,0,0,8,0,3.2,3.2,2.5,5.8,83,153,0.5,0.33,0.83,0.5,0.83,0.54,0.42,0.96,0.54,0.96
vs Dortmund,21,27.0,42.2,6,66,540,6.0,4,3,7,3,1,1,9,2,5.1,4.4,3.6,7.9,69,161,0.67,0.5,1.17,0.5,1.0,0.85,0.6,1.45,0.73,1.32
vs Eint Frankfurt,22,27.2,44.5,6,66,540,6.0,16,12,28,15,1,1,15,2,9.0,8.2,6.9,15.1,95,190,2.67,2.0,4.67,2.5,4.5,1.5,1.16,2.66,1.37,2.52
vs Freiburg,23,26.0,50.3,6,66,540,6.0,9,6,15,9,0,1,17,0,8.0,7.2,5.9,13.1,97,202,1.5,1.0,2.5,1.5,2.5,1.33,0.98,2.31,1.2,2.18
vs Gladbach,23,26.1,49.0,7,77,630,7.0,15,12,27,14,1,1,16,0,9.4,8.7,7.2,15.9,117,213,2.14,1.71,3.86,2.0,3.71,1.35,1.03,2.38,1.24,2.27
vs Hamburger SV,24,27.4,55.7,6,66,540,6.0,8,7,15,7,1,2,13,0,9.9,8.4,6.5,14.9,91,294,1.33,1.17,2.5,1.17,2.33,1.65,1.08,2.72,1.4,2.48
vs Heidenheim,23,26.0,59.5,6,66,540,6.0,11,9,20,10,1,1,20,0,11.2,10.4,8.3,18.8,145,323,1.83,1.5,3.33,1.67,3.17,1.87,1.39,3.26,1.74,3.13
vs Hoffenheim,20,26.7,48.2,6,66,540,6.0,12,8,20,10,2,2,9,1,10.2,8.6,6.2,14.8,77,175,2.0,1.33,3.33,1.67,3.0,1.7,1.04,2.73,1.44,2.47
vs Köln,22,26.8,55.3,6,66,540,6.0,9,4,13,8,1,1,9,1,10.1,9.3,6.6,15.8,98,234,1.5,0.67,2.17,1.33,2.0,1.68,1.09,2.77,1.55,2.64
vs Leverkusen,23,26.1,43.5,6,66,540,6.0,8,4,12,7,1,1,22,1,6.3,5.6,4.9,10.5,86,210,1.33,0.67,2.0,1.17,1.83,1.06,0.82,1.88,0.93,1.74
vs Mainz 05,23,26.2,46.7,6,66,540,6.0,10,9,19,10,0,0,9,1,8.2,8.2,7.1,15.3,76,162,1.67,1.5,3.17,1.67,3.17,1.36,1.18,2.54,1.36,2.54
vs RB Leipzig,21,27.3,51.2,6,66,540,6.0,8,7,15,8,0,0,14,0,9.3,9.3,8.0,17.4,105,262,1.33,1.17,2.5,1.33,2.5,1.56,1.34,2.9,1.56,2.9
vs St. Pauli,17,26.2,47.5,6,66,540,6.0,9,7,16,9,0,2,18,2,7.5,6.0,4.9,10.8,75,197,1.5,1.17,2.67,1.5,2.67,1.26,0.81,2.06,0.99,1.8
vs Stuttgart,22,26.9,40.8,6,66,540,6.0,6,3,9,5,1,1,10,1,6.3,5.5,4.0,9.5,65,169,1.0,0.5,1.5,0.83,1.33,1.04,0.67,1.71,0.91,1.58
vs Union Berlin,19,26.0,67.7,7,77,630,7.0,14,7,21,11,3,3,14,1,13.4,11.1,7.8,18.9,178,372,2.0,1.0,3.0,1.57,2.57,1.92,1.12,3.04,1.58,2.7
vs Werder Bremen,22,26.8,53.3,6,66,540,6.0,13,9,22,10,3,3,10,0,12.8,10.4,9.2,19.7,97,277,2.17,1.5,3.67,1.67,3.17,2.14,1.54,3.68,1.74,3.28
vs Wolfsburg,21,26.8,51.2,6,66,540,6.0,10,7,17,9,1,2,15,0,9.5,7.9,5.8,13.7,120,229,1.67,1.17,2.83,1.5,2.67,1.58,0.97,2.55,1.32,2.29
