Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Atalanta,1,6.0,11,0,0,1,0,8.7,0.32,-2.3,-0.38,47,118,39.8,172,17,59.3,45.7,46,34.8,30.2,87,2,2.3,12,2.0,17.5
vs Bologna,1,6.0,9,2,1,0,0,8.3,0.31,-0.7,-0.12,36,112,32.1,192,21,47.4,40.1,42,50.0,38.7,84,6,7.1,2,0.33,10.5
vs Cagliari,1,6.0,6,1,0,1,0,5.9,0.28,-0.1,-0.01,17,43,39.5,137,26,23.4,30.4,41,26.8,29.4,58,0,0.0,3,0.5,13.8
vs Como,1,6.0,7,0,1,0,0,5.9,0.2,-1.1,-0.19,29,72,40.3,172,32,31.4,33.1,51,35.3,31.7,58,2,3.4,0,0.0,9.6
vs Cremonese,2,6.0,7,1,0,3,0,6.5,0.36,-0.5,-0.08,23,56,41.1,138,24,29.7,33.3,26,57.7,44.6,52,3,5.8,6,1.0,17.4
vs Fiorentina,1,6.0,4,0,0,1,0,2.5,0.19,-1.5,-0.25,37,91,40.7,157,28,45.2,41.6,62,32.3,31.8,75,5,6.7,8,1.33,17.5
vs Genoa,1,6.0,3,0,0,0,0,4.7,0.28,1.7,0.28,43,107,40.2,210,17,42.4,36.7,37,48.6,39.7,69,8,11.6,3,0.5,10.9
vs Hellas Verona,1,6.0,2,1,0,1,0,6.6,0.18,4.6,0.77,25,64,39.1,181,41,26.5,31.8,41,39.0,36.6,69,6,8.7,3,0.5,12.4
vs Inter,2,6.0,17,0,0,3,1,12.6,0.35,-3.4,-0.56,27,84,32.1,158,26,37.3,36.6,65,38.5,34.9,115,6,5.2,7,1.17,15.3
vs Juventus,1,6.0,9,0,0,4,0,9.2,0.29,0.2,0.03,33,85,38.8,130,17,40.8,38.1,51,62.7,47.8,102,4,3.9,2,0.33,11.4
vs Lazio,1,6.0,10,1,0,0,0,8.2,0.36,-1.8,-0.3,32,64,50.0,160,18,29.4,30.0,38,44.7,38.4,64,5,7.8,10,1.67,18.5
vs Lecce,1,6.0,5,0,0,1,0,4.1,0.24,-0.9,-0.15,23,81,28.4,166,21,35.5,34.0,42,52.4,40.1,75,10,13.3,8,1.33,12.3
vs Milan,2,6.0,9,0,0,0,0,8.6,0.32,-0.4,-0.06,14,51,27.5,144,22,25.7,30.9,51,27.5,30.7,64,7,10.9,5,0.83,11.5
vs Napoli,2,6.0,12,2,1,2,0,11.9,0.31,-0.1,-0.02,25,104,24.0,163,27,54.0,42.4,44,36.4,29.8,114,12,10.5,5,0.83,9.2
vs Parma,1,6.0,3,1,0,1,0,3.4,0.18,0.4,0.06,43,119,36.1,171,24,55.0,42.0,49,51.0,35.9,89,13,14.6,1,0.17,9.6
vs Pisa,1,6.0,3,1,0,0,1,4.3,0.24,2.3,0.38,23,66,34.8,164,24,29.3,34.6,48,37.5,32.9,78,3,3.8,6,1.0,13.7
vs Roma,1,6.0,7,0,0,1,0,7.6,0.27,0.6,0.09,45,129,34.9,209,26,56.0,43.2,43,27.9,27.2,91,3,3.3,2,0.33,10.5
vs Sassuolo,2,6.0,8,1,0,1,0,8.1,0.27,0.1,0.02,17,63,27.0,161,22,34.2,31.8,31,25.8,28.0,37,1,2.7,10,1.67,19.2
vs Torino,1,6.0,5,0,0,1,0,9.7,0.33,4.7,0.79,26,79,32.9,187,24,31.0,33.1,37,56.8,43.9,83,4,4.8,2,0.33,11.6
vs Udinese,1,6.0,6,1,0,2,0,6.7,0.26,0.7,0.11,31,81,38.3,161,34,36.6,35.9,55,40.0,38.0,70,8,11.4,3,0.5,11.8
