Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Atalanta,22,6.0,3035,2786,240,66,7,12,108,87,33,12,17,0,2500,9,39
Bologna,24,6.0,2903,2590,299,93,2,25,105,130,34,7,17,0,2332,14,45
Cagliari,23,6.0,2304,1999,297,92,1,13,78,100,20,3,16,0,1799,8,45
Como,21,6.0,3080,2788,289,95,9,20,71,124,23,8,10,0,2585,3,56
Cremonese,25,6.0,2484,2175,295,86,2,12,78,114,15,7,7,0,1932,14,54
Fiorentina,22,6.0,2549,2251,284,110,6,10,90,88,24,10,11,0,2012,14,32
Genoa,22,6.0,2467,2155,308,94,6,15,94,136,27,13,9,0,1844,4,49
Hellas Verona,24,6.0,2208,1951,247,56,11,16,88,114,22,12,10,0,1618,10,46
Inter,24,6.0,3506,3229,262,57,5,24,164,108,52,15,33,0,2983,15,47
Juventus,22,6.0,3237,2953,279,69,7,15,129,115,38,12,12,0,2726,5,61
Lazio,23,6.0,2899,2595,298,116,10,13,82,108,21,12,8,0,2396,6,55
Lecce,22,6.0,2175,1859,309,98,2,11,94,113,29,13,10,0,1616,7,35
Milan,24,6.0,3082,2820,251,74,15,16,80,106,26,14,10,0,2653,11,31
Napoli,24,6.0,3658,3364,288,82,21,9,133,108,39,27,3,0,3137,6,52
Parma,19,6.0,2355,2074,277,95,0,9,107,104,23,17,5,0,1778,4,31
Pisa,24,6.0,1932,1662,262,81,6,7,101,92,22,7,11,0,1399,8,44
Roma,21,6.0,3165,2845,313,104,3,19,115,120,34,18,12,0,2550,7,68
Sassuolo,25,6.0,2424,2167,246,88,5,18,52,88,14,9,3,0,1956,11,36
Torino,24,6.0,2382,2108,264,74,4,13,102,101,25,13,9,0,1884,10,44
Udinese,25,6.0,2580,2291,282,82,1,7,104,113,26,16,3,0,2092,7,49
