Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Atalanta,22,26.2,46.5,6,66,540,6.0,4,1,5,4,0,1,5,0,5.8,5.0,3.5,8.5,95,196,0.67,0.17,0.83,0.67,0.83,0.96,0.59,1.55,0.83,1.42
vs Bologna,24,26.5,43.2,6,66,540,6.0,5,3,8,5,0,0,18,1,5.6,5.6,3.9,9.5,75,132,0.83,0.5,1.33,0.83,1.33,0.93,0.64,1.58,0.93,1.58
vs Cagliari,23,27.3,57.0,6,66,540,6.0,6,6,12,6,0,0,10,0,10.8,10.8,9.4,20.2,120,254,1.0,1.0,2.0,1.0,2.0,1.8,1.57,3.37,1.8,3.37
vs Como,21,27.3,42.3,6,66,540,6.0,5,1,6,5,0,0,18,0,5.8,5.8,3.7,9.5,73,167,0.83,0.17,1.0,0.83,1.0,0.97,0.61,1.58,0.97,1.58
vs Cremonese,25,26.7,56.3,6,66,540,6.0,8,7,15,7,1,1,9,1,10.3,9.5,8.1,17.5,119,267,1.33,1.17,2.5,1.17,2.33,1.71,1.34,3.05,1.58,2.92
vs Fiorentina,22,27.1,48.8,6,66,540,6.0,8,7,15,7,1,1,12,0,8.2,8.0,6.5,14.4,103,176,1.33,1.17,2.5,1.17,2.33,1.37,1.08,2.45,1.33,2.41
vs Genoa,22,27.2,52.2,6,66,540,6.0,9,5,14,8,1,1,10,1,7.1,6.4,4.2,10.6,68,159,1.5,0.83,2.33,1.33,2.17,1.19,0.71,1.9,1.06,1.77
vs Hellas Verona,24,26.5,59.3,6,66,540,6.0,9,7,16,9,0,1,10,0,8.2,7.2,5.5,12.8,96,248,1.5,1.17,2.67,1.5,2.67,1.37,0.92,2.29,1.21,2.13
vs Inter,24,26.9,38.2,6,66,540,6.0,8,7,15,7,1,1,7,0,4.4,3.7,3.5,7.2,63,156,1.33,1.17,2.5,1.17,2.33,0.74,0.58,1.32,0.62,1.2
vs Juventus,22,27.2,41.7,6,66,540,6.0,5,3,8,4,1,2,13,1,6.1,4.5,3.5,8.0,88,150,0.83,0.5,1.33,0.67,1.17,1.01,0.59,1.6,0.75,1.34
vs Lazio,23,26.3,50.3,6,66,540,6.0,7,5,12,7,0,0,17,0,7.8,7.8,5.9,13.7,103,199,1.17,0.83,2.0,1.17,2.0,1.31,0.98,2.28,1.31,2.28
vs Lecce,22,26.1,57.3,6,66,540,6.0,10,6,16,8,2,2,8,0,8.6,7.0,5.2,12.3,86,199,1.67,1.0,2.67,1.33,2.33,1.43,0.87,2.31,1.17,2.04
vs Milan,24,27.1,49.2,6,66,540,6.0,3,2,5,2,1,1,11,0,4.6,4.3,3.3,7.5,104,232,0.5,0.33,0.83,0.33,0.67,0.76,0.54,1.3,0.71,1.25
vs Napoli,24,26.6,38.2,6,66,540,6.0,6,4,10,5,1,1,10,2,5.9,5.3,4.4,9.7,71,119,1.0,0.67,1.67,0.83,1.5,0.98,0.73,1.71,0.89,1.62
vs Parma,19,26.8,53.5,6,66,540,6.0,7,5,12,7,0,0,12,1,5.6,5.6,4.4,10.0,72,202,1.17,0.83,2.0,1.17,2.0,0.93,0.74,1.67,0.93,1.67
vs Pisa,24,27.5,63.0,6,66,540,6.0,10,7,17,10,0,0,7,0,9.2,9.2,6.7,15.9,140,288,1.67,1.17,2.83,1.67,2.83,1.53,1.11,2.64,1.53,2.64
vs Roma,21,28.0,40.8,6,66,540,6.0,2,2,4,2,0,0,13,2,5.2,5.2,4.8,10.0,62,150,0.33,0.33,0.67,0.33,0.67,0.86,0.8,1.66,0.86,1.66
vs Sassuolo,25,27.8,56.3,6,66,540,6.0,7,4,11,6,1,1,13,0,8.8,8.0,5.9,13.9,87,261,1.17,0.67,1.83,1.0,1.67,1.46,0.98,2.44,1.33,2.31
vs Torino,24,27.2,55.7,6,66,540,6.0,13,10,23,11,2,2,10,0,8.6,7.0,5.4,12.4,98,221,2.17,1.67,3.83,1.83,3.5,1.43,0.9,2.33,1.17,2.07
vs Udinese,25,27.2,50.2,6,66,540,6.0,9,8,17,9,0,0,6,0,6.5,6.5,5.0,11.5,75,196,1.5,1.33,2.83,1.5,2.83,1.08,0.84,1.91,1.08,1.91
