Date,Comp,venue,opponent,goals_for,goals_against,result
2025-08-17,Ligue 1,Away,Nantes,1,0,W
2025-08-22,Ligue 1,Home,Angers,1,0,W
2025-08-30,Ligue 1,Away,Toulouse,6,3,W
2025-09-14,Ligue 1,Home,Lens,2,0,W
2025-09-22,Ligue 1,Away,Marseille,0,1,L
2025-09-27,Ligue 1,Home,Auxerre,2,0,W
2025-10-05,Ligue 1,Away,Lille,1,1,D
2025-10-17,Ligue 1,Home,Strasbourg,3,3,D
2025-10-25,Ligue 1,Away,Brest,,,
2025-10-29,Ligue 1,Away,Lorient,,,
2025-11-01,Ligue 1,Home,Nice,,,
2025-11-09,Ligue 1,Away,Lyon,,,
2025-11-22,Ligue 1,Home,Le Havre,,,
2025-11-29,Ligue 1,Away,Monaco,,,
2025-12-06,Ligue 1,Home,Rennes,,,
2025-12-13,Ligue 1,Away,Metz,,,
2026-01-04,Ligue 1,Home,Paris FC,,,
2026-01-18,Ligue 1,Home,Lille,,,
2026-01-25,Ligue 1,Away,Auxerre,,,
2026-02-01,Ligue 1,Away,Strasbourg,,,
2026-02-08,Ligue 1,Home,Marseille,,,
2026-02-15,Ligue 1,Away,Rennes,,,
2026-02-22,Ligue 1,Home,Metz,,,
2026-03-01,Ligue 1,Away,Le Havre,,,
2026-03-08,Ligue 1,Home,Monaco,,,
2026-03-15,Ligue 1,Home,Nantes,,,
2026-03-22,Ligue 1,Away,Nice,,,
2026-04-05,Ligue 1,Home,Toulouse,,,
2026-04-12,Ligue 1,Away,Lens,,,
2026-04-19,Ligue 1,Home,Lyon,,,
2026-04-26,Ligue 1,Away,Angers,,,
2026-05-03,Ligue 1,Home,Lorient,,,
2026-05-09,Ligue 1,Home,Brest,,,
2026-05-16,Ligue 1,Away,Paris FC,,,
