Date,Comp,venue,opponent,goals_for,goals_against,result
2025-08-24,Bundesliga,Away,Mainz 05,1.0,0.0,W
2025-08-31,Bundesliga,Home,Freiburg,4.0,1.0,W
2025-09-13,Bundesliga,Away,Wolfsburg,3.0,3.0,D
2025-09-20,Bundesliga,Away,RB Leipzig,1.0,3.0,L
2025-09-28,Bundesliga,Home,Stuttgart,1.0,2.0,L
2025-10-03,Bundesliga,Away,Hoffenheim,1.0,0.0,W
2025-10-18,Bundesliga,Home,Augsburg,,,
2025-10-25,Bundesliga,Away,Dortmund,,,
2025-11-02,Bundesliga,Home,Hamburger SV,,,
2025-11-08,Bundesliga,Away,Gladbach,,,
2025-11-22,Bundesliga,Home,Eint Frankfurt,,,
2025-11-29,Bundesliga,Away,Werder Bremen,,,
2025-12-06,Bundesliga,Home,St. Pauli,,,
2025-12-13,Bundesliga,Away,Leverkusen,,,
2025-12-20,Bundesliga,Home,Union Berlin,,,
2026-01-10,Bundesliga,Away,Heidenheim,,,
2026-01-14,Bundesliga,Home,Bayern Munich,,,
2026-01-17,Bundesliga,Home,Mainz 05,,,
2026-01-24,Bundesliga,Away,Freiburg,,,
2026-01-31,Bundesliga,Home,Wolfsburg,,,
2026-02-07,Bundesliga,Home,RB Leipzig,,,
2026-02-14,Bundesliga,Away,Stuttgart,,,
2026-02-21,Bundesliga,Home,Hoffenheim,,,
2026-02-28,Bundesliga,Away,Augsburg,,,
2026-03-07,Bundesliga,Home,Dortmund,,,
2026-03-14,Bundesliga,Away,Hamburger SV,,,
2026-03-21,Bundesliga,Home,Gladbach,,,
2026-04-04,Bundesliga,Away,Eint Frankfurt,,,
2026-04-11,Bundesliga,Home,Werder Bremen,,,
2026-04-18,Bundesliga,Away,St. Pauli,,,
2026-04-25,Bundesliga,Home,Leverkusen,,,
2026-05-02,Bundesliga,Away,Union Berlin,,,
2026-05-09,Bundesliga,Home,Heidenheim,,,
2026-05-16,Bundesliga,Away,Bayern Munich,,,
