Date,Comp,venue,opponent,goals_for,goals_against,result
2025-08-22,Bundesliga,Away,Bayern Munich,0.0,6.0,L
2025-08-30,Bundesliga,Home,Heidenheim,2.0,0.0,W
2025-09-13,Bundesliga,Away,Mainz 05,1.0,0.0,W
2025-09-20,Bundesliga,Home,Köln,3.0,1.0,W
2025-09-27,Bundesliga,Away,Wolfsburg,1.0,0.0,W
2025-10-04,Bundesliga,Away,Dortmund,1.0,1.0,D
2025-10-18,Bundesliga,Home,Hamburger SV,,,
2025-10-25,Bundesliga,Away,Augsburg,,,
2025-11-01,Bundesliga,Home,Stuttgart,,,
2025-11-08,Bundesliga,Away,Hoffenheim,,,
2025-11-23,Bundesliga,Home,Werder Bremen,,,
2025-11-28,Bundesliga,Away,Gladbach,,,
2025-12-06,Bundesliga,Home,Eint Frankfurt,,,
2025-12-13,Bundesliga,Away,Union Berlin,,,
2025-12-20,Bundesliga,Home,Leverkusen,,,
2026-01-10,Bundesliga,Away,St. Pauli,,,
2026-01-14,Bundesliga,Home,Freiburg,,,
2026-01-17,Bundesliga,Home,Bayern Munich,,,
2026-01-24,Bundesliga,Away,Heidenheim,,,
2026-01-31,Bundesliga,Home,Mainz 05,,,
2026-02-07,Bundesliga,Away,Köln,,,
2026-02-14,Bundesliga,Home,Wolfsburg,,,
2026-02-21,Bundesliga,Home,Dortmund,,,
2026-02-28,Bundesliga,Away,Hamburger SV,,,
2026-03-07,Bundesliga,Home,Augsburg,,,
2026-03-14,Bundesliga,Away,Stuttgart,,,
2026-03-21,Bundesliga,Home,Hoffenheim,,,
2026-04-04,Bundesliga,Away,Werder Bremen,,,
2026-04-11,Bundesliga,Home,Gladbach,,,
2026-04-18,Bundesliga,Away,Eint Frankfurt,,,
2026-04-25,Bundesliga,Home,Union Berlin,,,
2026-05-02,Bundesliga,Away,Leverkusen,,,
2026-05-09,Bundesliga,Home,St. Pauli,,,
2026-05-16,Bundesliga,Away,Freiburg,,,
