Date,Comp,venue,opponent,goals_for,goals_against,result
2025-08-23,Bundesliga,Home,Stuttgart,2.0,1.0,W
2025-08-31,Bundesliga,Away,Dortmund,0.0,3.0,L
2025-09-13,Bundesliga,Home,Hoffenheim,2.0,4.0,L
2025-09-21,Bundesliga,Away,Eint Frankfurt,4.0,3.0,W
2025-09-28,Bundesliga,Home,Hamburger SV,0.0,0.0,D
2025-10-04,Bundesliga,Away,Leverkusen,0.0,2.0,L
2025-10-17,Bundesliga,Home,Gladbach,3.0,1.0,W
2025-10-24,Bundesliga,Away,Werder Bremen,,,
2025-11-01,Bundesliga,Home,Freiburg,,,
2025-11-08,Bundesliga,Home,Bayern Munich,,,
2025-11-23,Bundesliga,Away,St. Pauli,,,
2025-11-29,Bundesliga,Home,Heidenheim,,,
2025-12-06,Bundesliga,Away,Wolfsburg,,,
2025-12-13,Bundesliga,Home,RB Leipzig,,,
2025-12-20,Bundesliga,Away,Köln,,,
2026-01-10,Bundesliga,Home,Mainz 05,,,
2026-01-14,Bundesliga,Away,Augsburg,,,
2026-01-17,Bundesliga,Away,Stuttgart,,,
2026-01-24,Bundesliga,Home,Dortmund,,,
2026-01-31,Bundesliga,Away,Hoffenheim,,,
2026-02-07,Bundesliga,Home,Eint Frankfurt,,,
2026-02-14,Bundesliga,Away,Hamburger SV,,,
2026-02-21,Bundesliga,Home,Leverkusen,,,
2026-02-28,Bundesliga,Away,Gladbach,,,
2026-03-07,Bundesliga,Home,Werder Bremen,,,
2026-03-14,Bundesliga,Away,Freiburg,,,
2026-03-21,Bundesliga,Away,Bayern Munich,,,
2026-04-04,Bundesliga,Home,St. Pauli,,,
2026-04-11,Bundesliga,Away,Heidenheim,,,
2026-04-18,Bundesliga,Home,Wolfsburg,,,
2026-04-25,Bundesliga,Away,RB Leipzig,,,
2026-05-02,Bundesliga,Home,Köln,,,
2026-05-09,Bundesliga,Away,Mainz 05,,,
2026-05-16,Bundesliga,Home,Augsburg,,,
