Date,Comp,venue,opponent,goals_for,goals_against,result
2025-08-23,Bundesliga,Away,Heidenheim,3.0,1.0,W
2025-08-31,Bundesliga,Home,Mainz 05,1.0,1.0,D
2025-09-13,Bundesliga,Home,Köln,3.0,3.0,D
2025-09-21,Bundesliga,Away,Dortmund,0.0,1.0,L
2025-09-27,Bundesliga,Home,RB Leipzig,0.0,1.0,L
2025-10-04,Bundesliga,Away,Augsburg,1.0,3.0,L
2025-10-18,Bundesliga,Home,Stuttgart,,,
2025-10-25,Bundesliga,Away,Hamburger SV,,,
2025-11-02,Bundesliga,Home,Hoffenheim,,,
2025-11-07,Bundesliga,Away,Werder Bremen,,,
2025-11-22,Bundesliga,Home,Leverkusen,,,
2025-11-30,Bundesliga,Away,Eint Frankfurt,,,
2025-12-06,Bundesliga,Home,Union Berlin,,,
2025-12-13,Bundesliga,Away,Gladbach,,,
2025-12-20,Bundesliga,Home,Freiburg,,,
2026-01-10,Bundesliga,Away,Bayern Munich,,,
2026-01-14,Bundesliga,Home,St. Pauli,,,
2026-01-17,Bundesliga,Home,Heidenheim,,,
2026-01-24,Bundesliga,Away,Mainz 05,,,
2026-01-31,Bundesliga,Away,Köln,,,
2026-02-07,Bundesliga,Home,Dortmund,,,
2026-02-14,Bundesliga,Away,RB Leipzig,,,
2026-02-21,Bundesliga,Home,Augsburg,,,
2026-02-28,Bundesliga,Away,Stuttgart,,,
2026-03-07,Bundesliga,Home,Hamburger SV,,,
2026-03-14,Bundesliga,Away,Hoffenheim,,,
2026-03-21,Bundesliga,Home,Werder Bremen,,,
2026-04-04,Bundesliga,Away,Leverkusen,,,
2026-04-11,Bundesliga,Home,Eint Frankfurt,,,
2026-04-18,Bundesliga,Away,Union Berlin,,,
2026-04-25,Bundesliga,Home,Gladbach,,,
2026-05-02,Bundesliga,Away,Freiburg,,,
2026-05-09,Bundesliga,Home,Bayern Munich,,,
2026-05-16,Bundesliga,Away,St. Pauli,,,
