Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-08-29,16:30,Community Shield,FA Community Shield,Sat,Neutral,D,1 (5),1 (4),Liverpool,,,40,,Pierre-Emerick Aubameyang,3-4-3,4-3-3,Andre Marriner,Match Report,
2020-09-12,12:30,Premier League,Matchweek 1,Sat,Away,W,3,0,Fulham,1.9,0.1,54,,Pierre-Emerick Aubameyang,3-4-3,4-2-3-1,Chris Kavanagh,Match Report,
2020-09-19,20:00,Premier League,Matchweek 2,Sat,Home,W,2,1,West Ham,1.1,2.0,62,,Pierre-Emerick Aubameyang,3-4-3,5-4-1,Michael Oliver,Match Report,
2020-09-23,19:45,EFL Cup,Third round,Wed,Away,W,2,0,Leicester City,,,51,,David Luiz,3-4-3,4-2-3-1,Peter Bankes,Match Report,
2020-09-28,20:00,Premier League,Matchweek 3,Mon,Away,L,1,3,Liverpool,1.3,2.7,34,,Pierre-Emerick Aubameyang,3-4-3,4-3-3,Craig Pawson,Match Report,
2020-10-01,19:45,EFL Cup,Fourth round,Thu,Away,D,0 (5),0 (4),Liverpool,,,44,,Granit Xhaka,4-3-3,4-3-3,Kevin Friend,Match Report,Arsenal won on penalty kicks following extra time
2020-10-04,14:00,Premier League,Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,0.6,0.2,64,,Pierre-Emerick Aubameyang,4-3-3,3-5-2,Lee Mason,Match Report,
2020-10-17,17:30,Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester City,0.9,1.3,42,,Pierre-Emerick Aubameyang,4-3-3,3-1-4-2,Chris Kavanagh,Match Report,
2020-10-22,18:55,Europa Lg,Group stage,Thu,Away,W,2,1,at Rapid Wien,1.5,1.5,66,3000.0,Alexandre Lacazette,4-3-3,5-3-2,Pavel Královec,Match Report,
2020-10-25,19:15,Premier League,Matchweek 6,Sun,Home,L,0,1,Leicester City,0.7,0.7,56,,Pierre-Emerick Aubameyang,3-4-3,3-4-3,Craig Pawson,Match Report,
2020-10-29,20:00,Europa Lg,Group stage,Thu,Home,W,3,0,ie Dundalk FC,3.0,0.2,63,,Granit Xhaka,3-4-3,3-5-2,Filip Glova,Match Report,
2020-11-01,16:30,Premier League,Matchweek 7,Sun,Away,W,1,0,Manchester Utd,1.0,0.4,46,,Pierre-Emerick Aubameyang,3-4-3,4-1-2-1-2,Mike Dean,Match Report,
2020-11-05,20:00,Europa Lg,Group stage,Thu,Home,W,4,1,no Molde,2.6,0.2,58,,Granit Xhaka,4-2-3-1,4-2-3-1,Halil Umut Meler,Match Report,
2020-11-08,19:15,Premier League,Matchweek 8,Sun,Home,L,0,3,Aston Villa,1.5,1.8,59,,Pierre-Emerick Aubameyang,3-4-3,4-2-3-1,Martin Atkinson,Match Report,
2020-11-22,16:30,Premier League,Matchweek 9,Sun,Away,D,0,0,Leeds United,0.9,1.8,34,,Pierre-Emerick Aubameyang,4-2-3-1,4-1-4-1,Anthony Taylor,Match Report,
2020-11-26,18:55,Europa Lg,Group stage,Thu,Away,W,3,0,no Molde,2.4,1.3,50,600.0,Alexandre Lacazette,4-4-2,4-2-3-1,Irfan Peljto,Match Report,
2020-11-29,19:15,Premier League,Matchweek 10,Sun,Home,L,1,2,Wolves,1.5,1.8,56,,Pierre-Emerick Aubameyang,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,
2020-12-03,20:00,Europa Lg,Group stage,Thu,Home,W,4,1,at Rapid Wien,2.9,1.5,70,2000.0,Alexandre Lacazette,4-2-3-1,3-5-2,Radu Petrescu,Match Report,
2020-12-06,16:30,Premier League,Matchweek 11,Sun,Away,L,0,2,Tottenham,0.6,0.3,69,2000.0,Pierre-Emerick Aubameyang,4-2-3-1,4-2-3-1,Martin Atkinson,Match Report,
2020-12-10,17:55,Europa Lg,Group stage,Thu,Away,W,4,2,ie Dundalk FC,1.5,0.3,52,,Shkodran Mustafi,3-4-3,3-4-1-2,Ivan Bebek,Match Report,
2020-12-13,19:15,Premier League,Matchweek 12,Sun,Home,L,0,1,Burnley,1.6,1.4,65,2000.0,Pierre-Emerick Aubameyang,4-2-3-1,4-4-1-1,Graham Scott,Match Report,
2020-12-16,18:00,Premier League,Matchweek 13,Wed,Home,D,1,1,Southampton,0.6,1.2,36,,Pierre-Emerick Aubameyang,3-4-3,4-4-2,Paul Tierney,Match Report,
2020-12-19,17:30,Premier League,Matchweek 14,Sat,Away,L,1,2,Everton,1.4,0.6,57,,Rob Holding,3-4-3,4-2-3-1,Andre Marriner,Match Report,
2020-12-22,20:00,EFL Cup,Quarter-finals,Tue,Home,L,1,4,Manchester City,,,43,,Alexandre Lacazette,3-4-3,4-2-3-1,Stuart Attwell,Match Report,
2020-12-26,17:30,Premier League,Matchweek 15,Sat,Home,W,3,1,Chelsea,2.0,2.6,40,,Héctor Bellerín,4-2-3-1,4-3-3,Michael Oliver,Match Report,
2020-12-29,18:00,Premier League,Matchweek 16,Tue,Away,W,1,0,Brighton,1.1,0.8,50,,Pierre-Emerick Aubameyang,4-2-3-1,3-5-2,Martin Atkinson,Match Report,
2021-01-02,20:00,Premier League,Matchweek 17,Sat,Away,W,4,0,West Brom,3.7,1.0,61,,Pierre-Emerick Aubameyang,4-2-3-1,4-4-1-1,Martin Atkinson,Match Report,
2021-01-09,17:30,FA Cup,Third round proper,Sat,Home,W,2,0,Newcastle Utd,,,61,,Pierre-Emerick Aubameyang,4-2-3-1,5-4-1,Chris Kavanagh,Match Report,Required Extra Time
2021-01-14,20:00,Premier League,Matchweek 18,Thu,Home,D,0,0,Crystal Palace,0.4,0.8,67,,Pierre-Emerick Aubameyang,4-2-3-1,4-4-2,Andre Marriner,Match Report,
2021-01-18,20:00,Premier League,Matchweek 19,Mon,Home,W,3,0,Newcastle Utd,2.4,0.2,66,,Pierre-Emerick Aubameyang,4-2-3-1,4-4-2,David Coote,Match Report,
2021-01-23,12:15,FA Cup,Fourth round proper,Sat,Away,L,0,1,Southampton,,,62,,Héctor Bellerín,4-2-3-1,4-4-2,Peter Bankes,Match Report,
2021-01-26,20:15,Premier League,Matchweek 20,Tue,Away,W,3,1,Southampton,2.2,0.8,42,,Héctor Bellerín,4-2-3-1,4-4-2,Kevin Friend,Match Report,
2021-01-30,17:30,Premier League,Matchweek 21,Sat,Home,D,0,0,Manchester Utd,0.9,1.6,43,,Héctor Bellerín,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,
2021-02-02,18:00,Premier League,Matchweek 22,Tue,Away,L,1,2,Wolves,0.8,1.5,45,,Héctor Bellerín,4-2-3-1,4-2-3-1,Craig Pawson,Match Report,
