Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-08-06,15:00,Premier League,Matchweek 1,Sat,Home,W,2,0,Aston Villa,0.6,0.7,35,11013,Lloyd Kelly,3-4-3,4-3-3,Peter Bankes,Match Report,
2022-08-13,15:00,Premier League,Matchweek 2,Sat,Away,L,0,4,Manchester City,0.1,1.7,33,53453,Lloyd Kelly,3-4-3,4-2-3-1,David Coote,Match Report,
2022-08-20,17:30,Premier League,Matchweek 3,Sat,Home,L,0,3,Arsenal,0.3,1.3,43,10423,Lloyd Kelly,3-1-4-2,4-3-3,Craig Pawson,Match Report,
2022-08-23,19:45,EFL Cup,Second round,Tue,Away,D,2 (5),2 (3),Norwich City,,,55,20647,Lewis Cook,4-2-3-1,4-3-3,Michael Salisbury,Match Report,Bournemouth won on penalty kicks following extra time
2022-08-27,15:00,Premier League,Matchweek 4,Sat,Away,L,0,9,Liverpool,0.3,3.3,31,53328,Adam Smith,4-2-3-1,4-3-3,Stuart Attwell,Match Report,
2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,D,0,0,Wolves,0.4,1.5,35,10113,Lloyd Kelly,4-4-2,4-3-3,Anthony Taylor,Match Report,
2022-09-03,15:00,Premier League,Matchweek 6,Sat,Away,W,3,2,Nott'ham Forest,0.8,1.9,48,28720,Lloyd Kelly,4-2-3-1,3-4-3,Michael Oliver,Match Report,
2022-09-17,15:00,Premier League,Matchweek 8,Sat,Away,D,1,1,Newcastle Utd,0.7,1.9,28,52238,Adam Smith,4-2-3-1,4-3-3,Craig Pawson,Match Report,
2022-10-01,15:00,Premier League,Matchweek 9,Sat,Home,D,0,0,Brentford,0.4,0.9,42,10126,Adam Smith,4-4-2,4-3-3,Thomas Bramall,Match Report,
2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,2,1,Leicester City,1.1,1.0,45,10272,Adam Smith,4-4-2,4-1-4-1,Michael Salisbury,Match Report,
2022-10-15,15:00,Premier League,Matchweek 11,Sat,Away,D,2,2,Fulham,1.0,2.1,31,22541,Adam Smith,4-2-3-1,4-2-3-1,Graham Scott,Match Report,
2022-10-19,19:30,Premier League,Matchweek 12,Wed,Home,L,0,1,Southampton,1.0,1.0,54,10405,Adam Smith,3-4-3,4-4-2,John Brooks,Match Report,
2022-10-24,20:00,Premier League,Matchweek 13,Mon,Away,L,0,2,West Ham,0.4,1.9,45,62447,Adam Smith,4-2-3-1,4-2-3-1,David Coote,Match Report,
2022-10-29,15:00,Premier League,Matchweek 14,Sat,Home,L,2,3,Tottenham,0.5,2.0,31,10430,Adam Smith,3-5-1-1,3-5-2,Anthony Taylor,Match Report,
2022-11-05,15:00,Premier League,Matchweek 15,Sat,Away,L,3,4,Leeds United,1.5,2.2,40,36304,Adam Smith,4-4-2,4-2-3-1,Tony Harrington,Match Report,
