Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-14,20:15,Premier League,Matchweek 1,Mon,Home,L,1,3,Chelsea,1.1,1.2,52,,Lewis Dunk,3-5-2,4-2-2-2,Craig Pawson,Match Report,
2020-09-17,19:45,EFL Cup,Second round,Thu,Home,W,4,0,Portsmouth,,,62,,Dale Stephens,4-2-3-1,4-2-3-1,Matt Donohue,Match Report,
2020-09-20,14:00,Premier League,Matchweek 2,Sun,Away,W,3,0,Newcastle Utd,1.8,0.5,53,,Lewis Dunk,3-4-3,4-4-2,Kevin Friend,Match Report,
2020-09-23,19:00,EFL Cup,Third round,Wed,Away,W,2,0,Preston,,,53,,Pascal Groß,4-2-3-1,4-2-3-1,Steve Martin,Match Report,
2020-09-26,12:30,Premier League,Matchweek 3,Sat,Home,L,2,3,Manchester Utd,2.5,1.5,53,,Lewis Dunk,3-4-3,4-2-3-1,Chris Kavanagh,Match Report,
2020-09-30,19:45,EFL Cup,Fourth round,Wed,Home,L,0,3,Manchester Utd,,,51,,Lewis Dunk,3-4-3,4-2-3-1,Graham Scott,Match Report,
2020-10-03,15:00,Premier League,Matchweek 4,Sat,Away,L,2,4,Everton,1.3,1.6,57,,Lewis Dunk,3-4-3,4-3-3,Simon Hooper,Match Report,
2020-10-18,14:00,Premier League,Matchweek 5,Sun,Away,D,1,1,Crystal Palace,1.7,0.8,66,,Lewis Dunk,3-4-3,4-4-2,Stuart Attwell,Match Report,
2020-10-26,17:30,Premier League,Matchweek 6,Mon,Home,D,1,1,West Brom,0.5,0.4,50,,Adam Webster,3-4-3,4-1-4-1,Jonathan Moss,Match Report,
2020-11-01,19:15,Premier League,Matchweek 7,Sun,Away,L,1,2,Tottenham,0.3,1.7,56,,Adam Webster,3-5-1-1,4-2-3-1,Graham Scott,Match Report,
2020-11-06,17:30,Premier League,Matchweek 8,Fri,Home,D,0,0,Burnley,1.5,0.5,59,,Adam Webster,5-3-2,4-4-2,Mike Dean,Match Report,
2020-11-21,15:00,Premier League,Matchweek 9,Sat,Away,W,2,1,Aston Villa,1.4,1.5,44,,Lewis Dunk,3-4-1-2,4-2-3-1,Michael Oliver,Match Report,
2020-11-28,12:30,Premier League,Matchweek 10,Sat,Home,D,1,1,Liverpool,2.3,0.2,40,,Lewis Dunk,3-4-1-2,4-3-3,Stuart Attwell,Match Report,
