Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Arsenal,29,38.0,74,2,1,421,335,53,652,369,285,3,6,2,1822,594,504,54.1
vs Aston Villa,24,38.0,73,7,2,568,419,47,784,355,322,5,6,3,1962,665,728,47.7
vs Brighton,27,38.0,51,2,0,376,406,54,625,456,316,6,9,1,1886,574,531,51.9
vs Burnley,25,38.0,32,2,0,403,364,79,801,308,261,3,3,1,2051,854,874,49.4
vs Chelsea,27,38.0,56,3,1,377,415,54,533,430,313,4,10,2,1845,515,569,47.5
vs Crystal Palace,24,38.0,44,4,1,455,387,46,795,378,400,3,4,2,1995,658,685,49.0
vs Everton,29,38.0,66,1,0,409,372,42,746,357,314,4,5,2,1997,486,665,42.2
vs Fulham,28,38.0,40,1,0,387,462,103,693,404,373,6,6,1,1986,625,649,49.1
vs Leeds United,23,38.0,49,2,1,432,422,53,613,426,318,8,4,2,2165,605,538,52.9
vs Leicester City,27,38.0,61,1,0,439,399,72,647,449,350,2,12,4,2047,590,600,49.6
vs Liverpool,28,38.0,56,2,0,343,380,95,531,456,343,7,6,3,2091,572,537,51.6
vs Manchester City,24,38.0,61,2,1,390,345,67,426,405,358,10,9,1,1743,417,479,46.5
vs Manchester Utd,29,38.0,64,3,1,412,437,60,617,478,369,3,11,3,2048,413,546,43.1
vs Newcastle Utd,27,38.0,60,3,1,432,369,70,844,372,276,3,7,2,1973,655,634,50.8
vs Sheffield Utd,27,38.0,39,1,1,304,445,57,718,296,301,3,4,1,1942,798,718,52.6
vs Southampton,29,38.0,58,3,2,438,405,89,667,428,355,7,6,0,2055,713,527,57.5
vs Tottenham,24,38.0,77,1,0,495,428,76,754,429,381,8,5,2,2165,647,618,51.1
vs West Brom,30,38.0,50,1,1,431,382,60,841,328,328,7,4,2,2044,771,709,52.1
vs West Ham,24,38.0,52,1,1,366,352,59,740,364,328,5,4,2,2001,677,738,47.8
vs Wolves,27,38.0,62,6,1,405,409,65,736,345,339,7,4,2,1871,596,576,50.9
