Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Arsenal,29,46.2,38.0,22816,2643,7657,10092,5265,721,22813,547,335,61.2,212,38.8,13129,66624,33414,604,462,162,507,244,15224,1165
vs Aston Villa,24,51.9,38.0,22498,2506,7471,9303,5952,955,22492,582,321,55.2,261,44.8,12009,66245,35967,726,508,200,551,269,14149,1534
vs Brighton,27,48.7,38.0,23201,2436,7588,10460,5346,677,23194,603,351,58.2,253,42.0,13162,68904,34879,587,464,141,591,376,15157,1290
vs Burnley,25,58.3,38.0,25555,2502,8190,11216,6361,975,25552,565,335,59.3,226,40.0,14183,79915,43477,884,587,219,568,278,16861,1657
vs Chelsea,27,38.6,38.0,20757,2531,7109,9099,4733,565,20753,570,339,59.5,231,40.5,10799,57273,27861,497,384,107,572,381,12689,1055
vs Crystal Palace,24,59.9,38.0,27170,1926,7042,13508,6809,890,27166,620,337,54.4,283,45.6,16162,83863,43503,666,508,139,606,353,18907,1798
vs Everton,29,53.5,38.0,25600,2093,7302,12068,6454,873,25596,664,398,59.9,266,40.1,14327,78959,41468,794,607,181,635,374,17537,1651
vs Fulham,28,50.1,38.0,24188,2377,7606,11296,5504,752,24181,581,327,56.3,254,43.7,13523,68845,34502,559,456,139,555,347,15656,1317
vs Leeds United,23,42.4,38.0,19786,2395,6410,8265,5409,875,19777,769,459,59.7,311,40.4,10613,67444,35138,720,557,184,663,431,11160,1188
vs Leicester City,27,45.4,38.0,22044,2246,7030,10289,4962,656,22040,676,381,56.4,295,43.6,11744,64847,33298,567,452,108,558,386,13695,1237
vs Liverpool,28,37.6,38.0,20455,3152,8672,8259,3747,575,20447,543,323,59.5,220,40.5,9976,53625,26042,539,338,141,565,306,11777,952
vs Manchester City,24,36.1,38.0,19457,2984,8113,8067,3501,487,19447,576,342,59.4,231,40.1,10888,58232,28483,537,393,125,501,264,12194,840
vs Manchester Utd,29,44.2,38.0,22325,2587,8167,9359,5007,700,22321,578,341,59.0,237,41.0,11878,62186,30690,573,389,158,540,314,14115,1220
vs Newcastle Utd,27,61.8,38.0,27300,2012,6945,13456,7127,997,27295,548,340,62.0,207,37.8,15912,84335,43945,851,628,192,554,305,19388,1756
vs Sheffield Utd,27,58.5,38.0,26977,2292,8278,12514,6434,912,26973,720,426,59.2,294,40.8,15796,83459,44671,828,570,190,553,340,18866,1597
vs Southampton,29,47.8,38.0,22361,2207,7097,10104,5351,831,22352,731,390,53.4,341,46.6,11913,57801,27190,555,407,187,600,386,13664,1389
vs Tottenham,24,48.3,38.0,23499,2113,6735,10940,6067,901,23489,683,406,59.4,277,40.6,13448,73391,36871,723,561,196,591,359,15238,1499
vs West Brom,30,62.4,38.0,27177,2092,7386,12659,7357,1039,27166,656,385,58.7,271,41.3,15605,87962,48418,931,719,209,585,310,18747,1778
vs West Ham,24,57.1,38.0,26359,2267,7386,12948,6281,848,26353,573,349,60.9,224,39.1,15828,87700,46678,826,630,169,554,290,18163,1679
vs Wolves,27,50.7,38.0,23864,2112,6459,11712,5891,832,23856,611,334,54.7,277,45.3,13753,73986,39325,699,525,152,509,311,16147,1556
