Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Liverpool,19,14,4,1,42,16,26,46,2.42,40.4,18.4,22.0,1.16,19,11,5,3,44,25,19,38,2.0,41.7,20.1,21.6,1.14
2,Arsenal,19,11,6,2,35,17,18,39,2.05,29.8,14.3,15.5,0.82,19,9,8,2,34,17,17,35,1.84,30.1,20.1,10.0,0.52
3,Manchester City,19,13,3,3,43,23,20,42,2.21,37.4,22.5,14.9,0.78,19,8,5,6,29,21,8,29,1.53,30.7,25.2,5.5,0.29
4,Chelsea,19,12,5,2,35,18,17,41,2.16,37.2,19.0,18.2,0.96,19,8,4,7,29,25,4,28,1.47,30.6,28.3,2.3,0.12
5,Newcastle Utd,19,12,2,5,40,20,20,38,2.0,32.9,22.5,10.4,0.55,19,8,4,7,28,27,1,28,1.47,30.8,23.0,7.8,0.41
6,Aston Villa,19,11,7,1,34,20,14,40,2.11,33.5,18.5,15.0,0.79,19,8,2,9,24,31,-7,26,1.37,22.6,31.6,-9.1,-0.48
7,Nott'ham Forest,19,9,5,5,26,16,10,32,1.68,22.8,19.8,3.0,0.16,19,10,3,6,32,30,2,33,1.74,22.6,29.1,-6.4,-0.34
8,Brighton,19,8,8,3,30,26,4,32,1.68,30.5,24.8,5.7,0.3,19,8,5,6,36,33,3,29,1.53,28.2,29.8,-1.6,-0.08
9,Bournemouth,19,8,4,7,23,16,7,28,1.47,31.4,22.3,9.1,0.48,19,7,7,5,35,30,5,28,1.47,32.6,26.2,6.4,0.34
10,Brentford,19,9,4,6,40,35,5,31,1.63,35.1,28.1,7.0,0.37,19,7,4,8,26,22,4,25,1.32,23.9,27.3,-3.4,-0.18
11,Fulham,19,7,5,7,27,30,-3,26,1.37,22.1,22.8,-0.8,-0.04,19,8,4,7,27,24,3,28,1.47,27.0,24.4,2.6,0.14
12,Crystal Palace,19,6,7,6,24,26,-2,25,1.32,30.5,22.0,8.5,0.45,19,7,7,5,27,25,2,28,1.47,29.9,27.1,2.8,0.15
13,Everton,19,5,9,5,26,23,3,24,1.26,22.9,22.8,0.1,0.0,19,6,6,7,16,21,-5,24,1.26,18.8,23.4,-4.5,-0.24
14,West Ham,19,5,5,9,23,34,-11,20,1.05,22.8,32.2,-9.4,-0.49,19,6,5,8,23,28,-5,23,1.21,24.2,27.5,-3.3,-0.17
15,Manchester Utd,19,7,3,9,23,28,-5,24,1.26,30.0,26.0,4.0,0.21,19,4,6,9,21,26,-5,18,0.95,22.6,27.9,-5.2,-0.28
16,Wolves,19,6,3,10,27,32,-5,21,1.11,23.3,29.1,-5.7,-0.3,19,6,3,10,27,37,-10,21,1.11,20.3,29.1,-8.7,-0.46
17,Tottenham,19,6,3,10,35,35,0,21,1.11,33.5,34.1,-0.6,-0.03,19,5,2,12,29,30,-1,17,0.89,25.4,29.2,-3.9,-0.2
18,Leicester City,19,4,3,12,15,34,-19,15,0.79,16.9,32.4,-15.5,-0.82,19,2,4,13,18,46,-28,10,0.53,15.8,39.5,-23.8,-1.25
19,Ipswich Town,19,1,4,14,14,44,-30,7,0.37,16.8,33.0,-16.2,-0.85,19,3,6,10,22,38,-16,15,0.79,17.5,39.7,-22.1,-1.17
20,Southampton,19,1,3,15,13,47,-34,6,0.32,17.2,46.3,-29.1,-1.53,19,1,3,15,13,39,-26,6,0.32,15.4,38.5,-23.1,-1.21
