Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Arsenal,1,38,38,3420,38.0,69,1.82,180,113,62.8,4,14,20,5,13.2,2,2,0,0,0.0
vs Aston Villa,2,38,38,3420,38.0,58,1.53,165,106,66.7,10,9,19,7,18.4,6,3,3,0,50.0
vs Bournemouth,3,38,38,3420,38.0,58,1.53,199,141,73.9,12,11,15,8,21.1,7,6,1,0,14.3
vs Brentford,2,38,38,3420,38.0,66,1.74,179,113,65.9,14,8,16,8,21.1,6,5,1,0,16.7
vs Brighton,2,38,38,3420,38.0,66,1.74,190,126,68.9,9,13,16,5,13.2,7,7,0,0,0.0
vs Chelsea,2,38,38,3420,38.0,64,1.68,208,146,71.2,9,9,20,7,18.4,5,4,1,0,20.0
vs Crystal Palace,1,38,38,3420,38.0,51,1.34,179,129,73.2,11,14,13,8,21.1,4,3,1,0,25.0
vs Everton,1,38,38,3420,38.0,42,1.11,141,102,71.6,12,15,11,15,39.5,2,2,0,0,0.0
vs Fulham,1,38,38,3420,38.0,54,1.42,171,117,70.2,14,9,15,7,18.4,4,3,1,0,25.0
vs Ipswich Town,3,38,38,3420,38.0,36,0.95,122,87,72.1,24,10,4,14,36.8,2,2,0,0,0.0
vs Leicester City,3,38,38,3420,38.0,33,0.87,108,74,71.3,25,7,6,17,44.7,3,2,1,0,33.3
vs Liverpool,3,38,38,3420,38.0,86,2.26,224,139,65.6,4,9,25,1,2.6,9,9,0,0,0.0
vs Manchester City,2,38,38,3420,38.0,72,1.89,212,140,67.5,9,8,21,6,15.8,4,3,1,0,25.0
vs Manchester Utd,2,38,38,3420,38.0,44,1.16,172,130,76.7,18,9,11,15,39.5,4,4,0,0,0.0
vs Newcastle Utd,2,38,38,3420,38.0,68,1.79,169,102,62.7,12,6,20,7,18.4,6,5,1,0,16.7
vs Nott'ham Forest,1,38,38,3420,38.0,58,1.53,165,108,66.7,11,8,19,8,21.1,3,3,0,0,0.0
vs Southampton,3,38,38,3420,38.0,26,0.68,108,81,75.9,30,6,2,16,42.1,2,0,2,0,100.0
vs Tottenham,4,38,38,3420,38.0,64,1.68,181,119,66.3,22,5,11,9,23.7,4,3,1,0,25.0
vs West Ham,2,38,38,3420,38.0,46,1.21,140,97,69.3,17,10,11,8,21.1,3,3,0,0,0.0
vs Wolves,4,38,38,3420,38.0,54,1.42,155,102,65.2,20,6,12,7,18.4,0,0,0,0,
