Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-13,Premier League,Away,Tottenham,1,0,W
2020-09-19,Premier League,Home,West Brom,5,2,W
2020-09-26,Premier League,Away,Crystal Palace,2,1,W
2020-10-03,Premier League,Home,Brighton,4,2,W
2020-10-17,Premier League,Home,Liverpool,2,2,D
2020-10-25,Premier League,Away,Southampton,0,2,L
2020-11-01,Premier League,Away,Newcastle Utd,1,2,L
2020-11-07,Premier League,Home,Manchester Utd,1,3,L
2020-11-22,Premier League,Away,Fulham,3,2,W
2020-11-28,Premier League,Home,Leeds United,0,1,L
2020-12-05,Premier League,Away,Burnley,1,1,D
2020-12-12,Premier League,Home,Chelsea,1,0,W
2020-12-16,Premier League,Away,Leicester City,2,0,W
2020-12-19,Premier League,Home,Arsenal,2,1,W
2020-12-26,Premier League,Away,Sheffield Utd,1,0,W
2021-01-01,Premier League,Home,West Ham,0,1,L
2021-01-12,Premier League,Away,Wolves,2,1,W
2021-01-27,Premier League,Home,Leicester City,1,1,D
2021-01-30,Premier League,Home,Newcastle Utd,0,2,L
2021-02-03,Premier League,Away,Leeds United,2,1,W
2021-02-06,Premier League,Away,Manchester Utd,3,3,D
2021-02-14,Premier League,Home,Fulham,0,2,L
2021-02-17,Premier League,Home,Manchester City,1,3,L
2021-02-20,Premier League,Away,Liverpool,2,0,W
2021-03-01,Premier League,Home,Southampton,1,0,W
2021-03-04,Premier League,Away,West Brom,1,0,W
2021-03-08,Premier League,Away,Chelsea,0,2,L
2021-03-13,Premier League,Home,Burnley,1,2,L
2021-04-05,Premier League,Home,Crystal Palace,1,1,D
2021-04-12,Premier League,Away,Brighton,0,0,D
2021-04-16,Premier League,Home,Tottenham,2,2,D
2021-04-23,Premier League,Away,Arsenal,1,0,W
2021-05-01,Premier League,Home,Aston Villa,1,2,L
2021-05-09,Premier League,Away,West Ham,1,0,W
2021-05-13,Premier League,Away,Aston Villa,0,0,D
2021-05-16,Premier League,Home,Sheffield Utd,0,1,L
2021-05-19,Premier League,Home,Wolves,1,0,W
2021-05-23,Premier League,Away,Manchester City,0,5,L
