Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-12,Premier League,Home,Arsenal,0,3,L
2020-09-19,Premier League,Away,Leeds United,3,4,L
2020-09-28,Premier League,Home,Aston Villa,0,3,L
2020-10-04,Premier League,Away,Wolves,0,1,L
2020-10-18,Premier League,Away,Sheffield Utd,1,1,D
2020-10-24,Premier League,Home,Crystal Palace,1,2,L
2020-11-02,Premier League,Home,West Brom,2,0,W
2020-11-07,Premier League,Away,West Ham,0,1,L
2020-11-22,Premier League,Home,Everton,2,3,L
2020-11-30,Premier League,Away,Leicester City,2,1,W
2020-12-05,Premier League,Away,Manchester City,0,2,L
2020-12-13,Premier League,Home,Liverpool,1,1,D
2020-12-16,Premier League,Home,Brighton,0,0,D
2020-12-19,Premier League,Away,Newcastle Utd,1,1,D
2020-12-26,Premier League,Home,Southampton,0,0,D
2021-01-13,Premier League,Away,Tottenham,1,1,D
2021-01-16,Premier League,Home,Chelsea,0,1,L
2021-01-20,Premier League,Home,Manchester Utd,1,2,L
2021-01-27,Premier League,Away,Brighton,0,0,D
2021-01-30,Premier League,Away,West Brom,2,2,D
2021-02-03,Premier League,Home,Leicester City,0,2,L
2021-02-06,Premier League,Home,West Ham,0,0,D
2021-02-14,Premier League,Away,Everton,2,0,W
2021-02-17,Premier League,Away,Burnley,1,1,D
2021-02-20,Premier League,Home,Sheffield Utd,1,0,W
2021-02-28,Premier League,Away,Crystal Palace,0,0,D
2021-03-04,Premier League,Home,Tottenham,0,1,L
2021-03-07,Premier League,Away,Liverpool,1,0,W
2021-03-13,Premier League,Home,Manchester City,0,3,L
2021-03-19,Premier League,Home,Leeds United,1,2,L
2021-04-04,Premier League,Away,Aston Villa,1,3,L
2021-04-09,Premier League,Home,Wolves,0,1,L
2021-04-18,Premier League,Away,Arsenal,1,1,D
2021-05-01,Premier League,Away,Chelsea,0,2,L
2021-05-10,Premier League,Home,Burnley,0,2,L
2021-05-15,Premier League,Away,Southampton,1,3,L
2021-05-18,Premier League,Away,Manchester Utd,1,1,D
2021-05-23,Premier League,Home,Newcastle Utd,0,2,L
