Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-12,Premier League,Home,Leeds United,4,3,W
2020-09-20,Premier League,Away,Chelsea,2,0,W
2020-09-28,Premier League,Home,Arsenal,3,1,W
2020-10-04,Premier League,Away,Aston Villa,2,7,L
2020-10-17,Premier League,Away,Everton,2,2,D
2020-10-24,Premier League,Home,Sheffield Utd,2,1,W
2020-10-31,Premier League,Home,West Ham,2,1,W
2020-11-08,Premier League,Away,Manchester City,1,1,D
2020-11-22,Premier League,Home,Leicester City,3,0,W
2020-11-28,Premier League,Away,Brighton,1,1,D
2020-12-06,Premier League,Home,Wolves,4,0,W
2020-12-13,Premier League,Away,Fulham,1,1,D
2020-12-16,Premier League,Home,Tottenham,2,1,W
2020-12-19,Premier League,Away,Crystal Palace,7,0,W
2020-12-27,Premier League,Home,West Brom,1,1,D
2020-12-30,Premier League,Away,Newcastle Utd,0,0,D
2021-01-04,Premier League,Away,Southampton,0,1,L
2021-01-17,Premier League,Home,Manchester Utd,0,0,D
2021-01-21,Premier League,Home,Burnley,0,1,L
2021-01-28,Premier League,Away,Tottenham,3,1,W
2021-01-31,Premier League,Away,West Ham,3,1,W
2021-02-03,Premier League,Home,Brighton,0,1,L
2021-02-07,Premier League,Home,Manchester City,1,4,L
2021-02-13,Premier League,Away,Leicester City,1,3,L
2021-02-20,Premier League,Home,Everton,0,2,L
2021-02-28,Premier League,Away,Sheffield Utd,2,0,W
2021-03-04,Premier League,Home,Chelsea,0,1,L
2021-03-07,Premier League,Home,Fulham,0,1,L
2021-03-15,Premier League,Away,Wolves,1,0,W
2021-04-03,Premier League,Away,Arsenal,3,0,W
2021-04-10,Premier League,Home,Aston Villa,2,1,W
2021-04-19,Premier League,Away,Leeds United,1,1,D
2021-04-24,Premier League,Home,Newcastle Utd,1,1,D
2021-05-08,Premier League,Home,Southampton,2,0,W
2021-05-13,Premier League,Away,Manchester Utd,4,2,W
2021-05-16,Premier League,Away,West Brom,2,1,W
2021-05-19,Premier League,Away,Burnley,3,0,W
2021-05-23,Premier League,Home,Crystal Palace,2,0,W
