Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-12,Premier League,Away,Crystal Palace,0,1,L
2020-09-20,Premier League,Home,Tottenham,2,5,L
2020-09-26,Premier League,Away,Burnley,1,0,W
2020-10-04,Premier League,Home,West Brom,2,0,W
2020-10-17,Premier League,Away,Chelsea,3,3,D
2020-10-25,Premier League,Home,Everton,2,0,W
2020-11-01,Premier League,Away,Aston Villa,4,3,W
2020-11-06,Premier League,Home,Newcastle Utd,2,0,W
2020-11-23,Premier League,Away,Wolves,1,1,D
2020-11-29,Premier League,Home,Manchester Utd,2,3,L
2020-12-07,Premier League,Away,Brighton,2,1,W
2020-12-13,Premier League,Home,Sheffield Utd,3,0,W
2020-12-16,Premier League,Away,Arsenal,1,1,D
2020-12-19,Premier League,Home,Manchester City,0,1,L
2020-12-26,Premier League,Away,Fulham,0,0,D
2020-12-29,Premier League,Home,West Ham,0,0,D
2021-01-04,Premier League,Home,Liverpool,1,0,W
2021-01-16,Premier League,Away,Leicester City,0,2,L
2021-01-26,Premier League,Home,Arsenal,1,3,L
2021-01-30,Premier League,Home,Aston Villa,0,1,L
2021-02-02,Premier League,Away,Manchester Utd,0,9,L
2021-02-06,Premier League,Away,Newcastle Utd,2,3,L
2021-02-14,Premier League,Home,Wolves,1,2,L
2021-02-20,Premier League,Home,Chelsea,1,1,D
2021-02-23,Premier League,Away,Leeds United,0,3,L
2021-03-01,Premier League,Away,Everton,0,1,L
2021-03-06,Premier League,Away,Sheffield Utd,2,0,W
2021-03-10,Premier League,Away,Manchester City,2,5,L
2021-03-14,Premier League,Home,Brighton,1,2,L
2021-04-04,Premier League,Home,Burnley,3,2,W
2021-04-12,Premier League,Away,West Brom,0,3,L
2021-04-21,Premier League,Away,Tottenham,1,2,L
2021-04-30,Premier League,Home,Leicester City,1,1,D
2021-05-08,Premier League,Away,Liverpool,0,2,L
2021-05-11,Premier League,Home,Crystal Palace,3,1,W
2021-05-15,Premier League,Home,Fulham,3,1,W
2021-05-18,Premier League,Home,Leeds United,0,2,L
2021-05-23,Premier League,Away,West Ham,0,3,L
