Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-14,Premier League,Away,Sheffield Utd,2,0,W
2020-09-21,Premier League,Home,Manchester City,1,3,L
2020-09-27,Premier League,Away,West Ham,0,4,L
2020-10-04,Premier League,Home,Fulham,1,0,W
2020-10-19,Premier League,Away,Leeds United,1,0,W
2020-10-25,Premier League,Home,Newcastle Utd,1,1,D
2020-10-30,Premier League,Home,Crystal Palace,2,0,W
2020-11-08,Premier League,Away,Leicester City,0,1,L
2020-11-23,Premier League,Home,Southampton,1,1,D
2020-11-29,Premier League,Away,Arsenal,2,1,W
2020-12-06,Premier League,Away,Liverpool,0,4,L
2020-12-12,Premier League,Home,Aston Villa,0,1,L
2020-12-15,Premier League,Home,Chelsea,2,1,W
2020-12-21,Premier League,Away,Burnley,1,2,L
2020-12-27,Premier League,Home,Tottenham,1,1,D
2020-12-29,Premier League,Away,Manchester Utd,0,1,L
2021-01-02,Premier League,Away,Brighton,3,3,D
2021-01-12,Premier League,Home,Everton,1,2,L
2021-01-16,Premier League,Home,West Brom,2,3,L
2021-01-27,Premier League,Away,Chelsea,0,0,D
2021-01-30,Premier League,Away,Crystal Palace,0,1,L
2021-02-02,Premier League,Home,Arsenal,2,1,W
2021-02-07,Premier League,Home,Leicester City,0,0,D
2021-02-14,Premier League,Away,Southampton,2,1,W
2021-02-19,Premier League,Home,Leeds United,1,0,W
2021-02-27,Premier League,Away,Newcastle Utd,1,1,D
2021-03-02,Premier League,Away,Manchester City,1,4,L
2021-03-06,Premier League,Away,Aston Villa,0,0,D
2021-03-15,Premier League,Home,Liverpool,0,1,L
2021-04-05,Premier League,Home,West Ham,2,3,L
2021-04-09,Premier League,Away,Fulham,1,0,W
2021-04-17,Premier League,Home,Sheffield Utd,1,0,W
2021-04-25,Premier League,Home,Burnley,0,4,L
2021-05-03,Premier League,Away,West Brom,1,1,D
2021-05-09,Premier League,Home,Brighton,2,1,W
2021-05-16,Premier League,Away,Tottenham,0,2,L
2021-05-19,Premier League,Away,Everton,0,1,L
2021-05-23,Premier League,Home,Manchester Utd,1,2,L
