Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-07,Premier League,Away,West Ham,2,0,W
2022-08-13,Premier League,Home,Bournemouth,4,0,W
2022-08-21,Premier League,Away,Newcastle Utd,3,3,D
2022-08-27,Premier League,Home,Crystal Palace,4,2,W
2022-08-31,Premier League,Home,Nott'ham Forest,6,0,W
2022-09-03,Premier League,Away,Aston Villa,1,1,D
2022-09-17,Premier League,Away,Wolves,3,0,W
2022-10-02,Premier League,Home,Manchester Utd,6,3,W
2022-10-08,Premier League,Home,Southampton,4,0,W
2022-10-16,Premier League,Away,Liverpool,0,1,L
2022-10-22,Premier League,Home,Brighton,3,1,W
2022-10-29,Premier League,Away,Leicester City,1,0,W
2022-11-05,Premier League,Home,Fulham,2,1,W
2022-11-12,Premier League,Home,Brentford,1,2,L
2022-12-28,Premier League,Away,Leeds United,3,1,W
2022-12-31,Premier League,Home,Everton,1,1,D
2023-01-05,Premier League,Away,Chelsea,1,0,W
2023-01-14,Premier League,Away,Manchester Utd,1,2,L
2023-01-19,Premier League,Home,Tottenham,4,2,W
2023-01-22,Premier League,Home,Wolves,3,0,W
2023-02-05,Premier League,Away,Tottenham,0,1,L
2023-02-12,Premier League,Home,Aston Villa,3,1,W
2023-02-15,Premier League,Away,Arsenal,3,1,W
2023-02-18,Premier League,Away,Nott'ham Forest,1,1,D
2023-02-25,Premier League,Away,Bournemouth,4,1,W
2023-03-04,Premier League,Home,Newcastle Utd,2,0,W
2023-03-11,Premier League,Away,Crystal Palace,1,0,W
2023-04-01,Premier League,Home,Liverpool,4,1,W
2023-04-08,Premier League,Away,Southampton,4,1,W
2023-04-15,Premier League,Home,Leicester City,3,1,W
2023-04-26,Premier League,Home,Arsenal,4,1,W
2023-04-30,Premier League,Away,Fulham,2,1,W
2023-05-03,Premier League,Home,West Ham,3,0,W
2023-05-06,Premier League,Home,Leeds United,2,1,W
2023-05-14,Premier League,Away,Everton,3,0,W
2023-05-21,Premier League,Home,Chelsea,1,0,W
2023-05-24,Premier League,Away,Brighton,1,1,D
2023-05-28,Premier League,Away,Brentford,0,1,L
