Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-06,Premier League,Home,Nott'ham Forest,2,0,W
2022-08-13,Premier League,Away,Brighton,0,0,D
2022-08-21,Premier League,Home,Manchester City,3,3,D
2022-08-28,Premier League,Away,Wolves,1,1,D
2022-08-31,Premier League,Away,Liverpool,1,2,L
2022-09-03,Premier League,Home,Crystal Palace,0,0,D
2022-09-17,Premier League,Home,Bournemouth,1,1,D
2022-10-01,Premier League,Away,Fulham,4,1,W
2022-10-08,Premier League,Home,Brentford,5,1,W
2022-10-16,Premier League,Away,Manchester Utd,0,0,D
2022-10-19,Premier League,Home,Everton,1,0,W
2022-10-23,Premier League,Away,Tottenham,2,1,W
2022-10-29,Premier League,Home,Aston Villa,4,0,W
2022-11-06,Premier League,Away,Southampton,4,1,W
2022-11-12,Premier League,Home,Chelsea,1,0,W
2022-12-26,Premier League,Away,Leicester City,3,0,W
2022-12-31,Premier League,Home,Leeds United,0,0,D
2023-01-03,Premier League,Away,Arsenal,0,0,D
2023-01-15,Premier League,Home,Fulham,1,0,W
2023-01-21,Premier League,Away,Crystal Palace,0,0,D
2023-02-04,Premier League,Home,West Ham,1,1,D
2023-02-11,Premier League,Away,Bournemouth,1,1,D
2023-02-18,Premier League,Home,Liverpool,0,2,L
2023-03-04,Premier League,Away,Manchester City,0,2,L
2023-03-12,Premier League,Home,Wolves,2,1,W
2023-03-17,Premier League,Away,Nott'ham Forest,2,1,W
2023-04-02,Premier League,Home,Manchester Utd,2,0,W
2023-04-05,Premier League,Away,West Ham,5,1,W
2023-04-08,Premier League,Away,Brentford,2,1,W
2023-04-15,Premier League,Away,Aston Villa,0,3,L
2023-04-23,Premier League,Home,Tottenham,6,1,W
2023-04-27,Premier League,Away,Everton,4,1,W
2023-04-30,Premier League,Home,Southampton,3,1,W
2023-05-07,Premier League,Home,Arsenal,0,2,L
2023-05-13,Premier League,Away,Leeds United,2,2,D
2023-05-18,Premier League,Home,Brighton,4,1,W
2023-05-22,Premier League,Home,Leicester City,0,0,D
2023-05-28,Premier League,Away,Chelsea,1,1,D
