Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-12,Premier League,Home,Luton Town,4,1,W
2023-08-19,Premier League,Away,Wolves,4,1,W
2023-08-26,Premier League,Home,West Ham,1,3,L
2023-09-02,Premier League,Home,Newcastle Utd,3,1,W
2023-09-16,Premier League,Away,Manchester Utd,3,1,W
2023-09-24,Premier League,Home,Bournemouth,3,1,W
2023-09-30,Premier League,Away,Aston Villa,1,6,L
2023-10-08,Premier League,Home,Liverpool,2,2,D
2023-10-21,Premier League,Away,Manchester City,1,2,L
2023-10-29,Premier League,Home,Fulham,1,1,D
2023-11-04,Premier League,Away,Everton,1,1,D
2023-11-12,Premier League,Home,Sheffield Utd,1,1,D
2023-11-25,Premier League,Away,Nott'ham Forest,3,2,W
2023-12-03,Premier League,Away,Chelsea,2,3,L
2023-12-06,Premier League,Home,Brentford,2,1,W
2023-12-09,Premier League,Home,Burnley,1,1,D
2023-12-17,Premier League,Away,Arsenal,0,2,L
2023-12-21,Premier League,Away,Crystal Palace,1,1,D
2023-12-28,Premier League,Home,Tottenham,4,2,W
2024-01-02,Premier League,Away,West Ham,0,0,D
2024-01-22,Premier League,Home,Wolves,0,0,D
2024-01-30,Premier League,Away,Luton Town,0,4,L
2024-02-03,Premier League,Home,Crystal Palace,4,1,W
2024-02-10,Premier League,Away,Tottenham,1,2,L
2024-02-18,Premier League,Away,Sheffield Utd,5,0,W
2024-02-24,Premier League,Home,Everton,1,1,D
2024-03-02,Premier League,Away,Fulham,0,3,L
2024-03-10,Premier League,Home,Nott'ham Forest,1,0,W
2024-03-31,Premier League,Away,Liverpool,1,2,L
2024-04-03,Premier League,Away,Brentford,0,0,D
2024-04-06,Premier League,Home,Arsenal,0,3,L
2024-04-13,Premier League,Away,Burnley,1,1,D
2024-04-25,Premier League,Home,Manchester City,0,4,L
2024-04-28,Premier League,Away,Bournemouth,0,3,L
2024-05-05,Premier League,Home,Aston Villa,1,0,W
2024-05-11,Premier League,Away,Newcastle Utd,1,1,D
2024-05-15,Premier League,Home,Chelsea,1,2,L
2024-05-19,Premier League,Home,Manchester Utd,0,2,L
