Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-12,Premier League,Away,Sheffield Utd,1,0,W
2023-08-21,Premier League,Home,Arsenal,0,1,L
2023-08-26,Premier League,Away,Brentford,1,1,D
2023-09-03,Premier League,Home,Wolves,3,2,W
2023-09-16,Premier League,Away,Aston Villa,1,3,L
2023-09-23,Premier League,Home,Fulham,0,0,D
2023-09-30,Premier League,Away,Manchester Utd,1,0,W
2023-10-07,Premier League,Home,Nott'ham Forest,0,0,D
2023-10-21,Premier League,Away,Newcastle Utd,0,4,L
2023-10-27,Premier League,Home,Tottenham,1,2,L
2023-11-04,Premier League,Away,Burnley,2,0,W
2023-11-11,Premier League,Home,Everton,2,3,L
2023-11-25,Premier League,Away,Luton Town,1,2,L
2023-12-03,Premier League,Away,West Ham,1,1,D
2023-12-06,Premier League,Home,Bournemouth,0,2,L
2023-12-09,Premier League,Home,Liverpool,1,2,L
2023-12-16,Premier League,Away,Manchester City,2,2,D
2023-12-21,Premier League,Home,Brighton,1,1,D
2023-12-27,Premier League,Away,Chelsea,1,2,L
2023-12-30,Premier League,Home,Brentford,3,1,W
2024-01-20,Premier League,Away,Arsenal,0,5,L
2024-01-30,Premier League,Home,Sheffield Utd,3,2,W
2024-02-03,Premier League,Away,Brighton,1,4,L
2024-02-12,Premier League,Home,Chelsea,1,3,L
2024-02-19,Premier League,Away,Everton,1,1,D
2024-02-24,Premier League,Home,Burnley,3,0,W
2024-03-02,Premier League,Away,Tottenham,1,3,L
2024-03-09,Premier League,Home,Luton Town,1,1,D
2024-03-30,Premier League,Away,Nott'ham Forest,1,1,D
2024-04-02,Premier League,Away,Bournemouth,0,1,L
2024-04-06,Premier League,Home,Manchester City,2,4,L
2024-04-14,Premier League,Away,Liverpool,1,0,W
2024-04-21,Premier League,Home,West Ham,5,2,W
2024-04-24,Premier League,Home,Newcastle Utd,2,0,W
2024-04-27,Premier League,Away,Fulham,1,1,D
2024-05-06,Premier League,Home,Manchester Utd,4,0,W
2024-05-11,Premier League,Away,Wolves,3,1,W
2024-05-19,Premier League,Home,Aston Villa,5,0,W
