Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-12,Premier League,Away,Bournemouth,1,1,D
2023-08-20,Premier League,Home,Chelsea,3,1,W
2023-08-26,Premier League,Away,Brighton,3,1,W
2023-09-01,Premier League,Away,Luton Town,2,1,W
2023-09-16,Premier League,Home,Manchester City,1,3,L
2023-09-24,Premier League,Away,Liverpool,1,3,L
2023-09-30,Premier League,Home,Sheffield Utd,2,0,W
2023-10-08,Premier League,Home,Newcastle Utd,2,2,D
2023-10-22,Premier League,Away,Aston Villa,1,4,L
2023-10-29,Premier League,Home,Everton,0,1,L
2023-11-04,Premier League,Away,Brentford,2,3,L
2023-11-12,Premier League,Home,Nott'ham Forest,3,2,W
2023-11-25,Premier League,Away,Burnley,2,1,W
2023-12-03,Premier League,Home,Crystal Palace,1,1,D
2023-12-07,Premier League,Away,Tottenham,2,1,W
2023-12-10,Premier League,Away,Fulham,0,5,L
2023-12-17,Premier League,Home,Wolves,3,0,W
2023-12-23,Premier League,Home,Manchester Utd,2,0,W
2023-12-28,Premier League,Away,Arsenal,2,0,W
2024-01-02,Premier League,Home,Brighton,0,0,D
2024-01-21,Premier League,Away,Sheffield Utd,2,2,D
2024-02-01,Premier League,Home,Bournemouth,1,1,D
2024-02-04,Premier League,Away,Manchester Utd,0,3,L
2024-02-11,Premier League,Home,Arsenal,0,6,L
2024-02-17,Premier League,Away,Nott'ham Forest,0,2,L
2024-02-26,Premier League,Home,Brentford,4,2,W
2024-03-02,Premier League,Away,Everton,3,1,W
2024-03-10,Premier League,Home,Burnley,2,2,D
2024-03-17,Premier League,Home,Aston Villa,1,1,D
2024-03-30,Premier League,Away,Newcastle Utd,3,4,L
2024-04-02,Premier League,Home,Tottenham,1,1,D
2024-04-06,Premier League,Away,Wolves,2,1,W
2024-04-14,Premier League,Home,Fulham,0,2,L
2024-04-21,Premier League,Away,Crystal Palace,2,5,L
2024-04-27,Premier League,Home,Liverpool,2,2,D
2024-05-05,Premier League,Away,Chelsea,0,5,L
2024-05-11,Premier League,Home,Luton Town,3,1,W
2024-05-19,Premier League,Away,Manchester City,1,3,L
