Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-17,Premier League,Home,Liverpool,0,2,L
2024-08-24,Premier League,Away,Manchester City,1,4,L
2024-08-31,Premier League,Home,Fulham,1,1,D
2024-09-14,Premier League,Away,Brighton,0,0,D
2024-09-21,Premier League,Away,Southampton,1,1,D
2024-09-29,Premier League,Home,Aston Villa,2,2,D
2024-10-05,Premier League,Away,West Ham,1,4,L
2024-10-19,Premier League,Home,Everton,0,2,L
2024-10-26,Premier League,Away,Brentford,3,4,L
2024-11-02,Premier League,Home,Leicester City,1,1,D
2024-11-10,Premier League,Away,Tottenham,2,1,W
2024-11-24,Premier League,Home,Manchester Utd,1,1,D
2024-11-30,Premier League,Away,Nott'ham Forest,0,1,L
2024-12-03,Premier League,Home,Crystal Palace,0,1,L
2024-12-08,Premier League,Home,Bournemouth,1,2,L
2024-12-14,Premier League,Away,Wolves,2,1,W
2024-12-21,Premier League,Home,Newcastle Utd,0,4,L
2024-12-27,Premier League,Away,Arsenal,0,1,L
2024-12-30,Premier League,Home,Chelsea,2,0,W
2025-01-05,Premier League,Away,Fulham,2,2,D
2025-01-16,Premier League,Home,Brighton,0,2,L
2025-01-19,Premier League,Home,Manchester City,0,6,L
2025-01-25,Premier League,Away,Liverpool,1,4,L
2025-02-01,Premier League,Home,Southampton,1,2,L
2025-02-15,Premier League,Away,Aston Villa,1,1,D
2025-02-22,Premier League,Home,Tottenham,1,4,L
2025-02-26,Premier League,Away,Manchester Utd,2,3,L
2025-03-08,Premier League,Away,Crystal Palace,0,1,L
2025-03-15,Premier League,Home,Nott'ham Forest,2,4,L
2025-04-02,Premier League,Away,Bournemouth,2,1,W
2025-04-05,Premier League,Home,Wolves,1,2,L
2025-04-13,Premier League,Away,Chelsea,2,2,D
2025-04-20,Premier League,Home,Arsenal,0,4,L
2025-04-26,Premier League,Away,Newcastle Utd,0,3,L
2025-05-03,Premier League,Away,Everton,2,2,D
2025-05-10,Premier League,Home,Brentford,0,1,L
2025-05-18,Premier League,Away,Leicester City,0,2,L
2025-05-25,Premier League,Home,West Ham,1,3,L
