Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-17,Premier League,Home,Bournemouth,1,1,D
2024-08-24,Premier League,Away,Southampton,1,0,W
2024-08-31,Premier League,Home,Wolves,1,1,D
2024-09-14,Premier League,Away,Liverpool,1,0,W
2024-09-22,Premier League,Away,Brighton,2,2,D
2024-09-28,Premier League,Home,Fulham,0,1,L
2024-10-06,Premier League,Away,Chelsea,1,1,D
2024-10-21,Premier League,Home,Crystal Palace,1,0,W
2024-10-25,Premier League,Away,Leicester City,3,1,W
2024-11-02,Premier League,Home,West Ham,3,0,W
2024-11-10,Premier League,Home,Newcastle Utd,1,3,L
2024-11-23,Premier League,Away,Arsenal,0,3,L
2024-11-30,Premier League,Home,Ipswich Town,1,0,W
2024-12-04,Premier League,Away,Manchester City,0,3,L
2024-12-07,Premier League,Away,Manchester Utd,3,2,W
2024-12-14,Premier League,Home,Aston Villa,2,1,W
2024-12-21,Premier League,Away,Brentford,2,0,W
2024-12-26,Premier League,Home,Tottenham,1,0,W
2024-12-29,Premier League,Away,Everton,2,0,W
2025-01-06,Premier League,Away,Wolves,3,0,W
2025-01-14,Premier League,Home,Liverpool,1,1,D
2025-01-19,Premier League,Home,Southampton,3,2,W
2025-01-25,Premier League,Away,Bournemouth,0,5,L
2025-02-01,Premier League,Home,Brighton,7,0,W
2025-02-15,Premier League,Away,Fulham,1,2,L
2025-02-23,Premier League,Away,Newcastle Utd,3,4,L
2025-02-26,Premier League,Home,Arsenal,0,0,D
2025-03-08,Premier League,Home,Manchester City,1,0,W
2025-03-15,Premier League,Away,Ipswich Town,4,2,W
2025-04-01,Premier League,Home,Manchester Utd,1,0,W
2025-04-05,Premier League,Away,Aston Villa,1,2,L
2025-04-12,Premier League,Home,Everton,0,1,L
2025-04-21,Premier League,Away,Tottenham,2,1,W
2025-05-01,Premier League,Home,Brentford,0,2,L
2025-05-05,Premier League,Away,Crystal Palace,1,1,D
2025-05-11,Premier League,Home,Leicester City,2,2,D
2025-05-18,Premier League,Away,West Ham,2,1,W
2025-05-25,Premier League,Home,Chelsea,0,1,L
