Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-13,16:30,Premier League,Matchweek 1,Sun,Home,L,0,1,Everton,1.1,1.2,52.0,,Hugo Lloris,4-2-3-1,4-3-3,Martin Atkinson,Match Report,
2020-09-17,19:00,Europa Lg,Second qualifying round,Thu,Away,W,2,1,bg Loko Plovdiv,,,,,Hugo Lloris,4-2-3-1,3-4-1-2,Harm Osmers,Match Report,
2020-09-20,12:00,Premier League,Matchweek 2,Sun,Away,W,5,2,Southampton,2.1,2.0,49.0,,Hugo Lloris,4-3-3,4-4-2,David Coote,Match Report,
2020-09-22,18:00,EFL Cup,Third round,Tue,Away,W,3,0,Leyton Orient,,,,,,,,Gavin Ward,Match Report,Match awarded to Tottenham
2020-09-24,20:00,Europa Lg,Third qualifying round,Thu,Away,W,3,1,mk Shkëndija 79,,,,,Toby Alderweireld,4-3-3,4-2-3-1,Ali Palabıyık,Match Report,
2020-09-27,14:00,Premier League,Matchweek 3,Sun,Home,D,1,1,Newcastle Utd,2.9,1.0,66.0,,Hugo Lloris,4-2-3-1,5-4-1,Peter Bankes,Match Report,
2020-09-29,19:45,EFL Cup,Fourth round,Tue,Home,D,1 (5),1 (4),Chelsea,,,37.0,,Hugo Lloris,3-5-2,4-2-3-1,Lee Mason,Match Report,Tottenham won on penalty kicks following extra time
2020-10-01,20:00,Europa Lg,Play-off round,Thu,Home,W,7,2,il Maccabi Haifa,,,53.0,,Harry Kane,4-2-3-1,3-4-3,Ruddy Buquet,Match Report,
2020-10-04,16:30,Premier League,Matchweek 4,Sun,Away,W,6,1,Manchester Utd,3.4,0.9,61.0,,Hugo Lloris,4-3-3,4-2-3-1,Anthony Taylor,Match Report,
2020-10-18,16:30,Premier League,Matchweek 5,Sun,Home,D,3,3,West Ham,1.7,1.9,50.0,,Hugo Lloris,4-2-3-1,5-4-1,Paul Tierney,Match Report,
2020-10-22,20:00,Europa Lg,Group stage,Thu,Home,W,3,0,at LASK,2.3,0.7,55.0,,Ben Davies,4-2-3-1,3-4-3,Mohammed Al Hakim,Match Report,
