Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-08-15,17:30,La Liga,Matchweek 1,Mon,Home,D,0,0,Mallorca,1.6,0.4,64,39747,Iker Muniain,4-3-3,5-4-1,Javier Villanueva,Match Report,
2022-08-21,17:30,La Liga,Matchweek 2,Sun,Home,W,1,0,Valencia,1.0,0.7,38,43333,Iker Muniain,4-2-3-1,4-3-3,César Soto,Match Report,
2022-08-29,20:00,La Liga,Matchweek 3,Mon,Away,W,4,0,Cádiz,2.4,0.4,62,17029,Iker Muniain,4-2-3-1,4-4-2,Miguel Ángel Ortiz Arias,Match Report,
2022-09-04,16:15,La Liga,Matchweek 4,Sun,Home,L,0,1,Espanyol,1.2,0.6,66,41574,Iker Muniain,4-2-3-1,4-3-3,Juan Martínez,Match Report,
2022-09-11,16:15,La Liga,Matchweek 5,Sun,Away,W,4,1,Elche,2.7,0.9,53,24176,Iker Muniain,4-2-3-1,4-2-3-1,Mario Melero,Match Report,
2022-09-17,21:00,La Liga,Matchweek 6,Sat,Home,W,3,2,Rayo Vallecano,1.9,0.7,39,43484,Iker Muniain,4-2-3-1,4-2-3-1,Antonio Matéu Lahoz,Match Report,
2022-09-30,21:00,La Liga,Matchweek 7,Fri,Home,W,4,0,Almería,2.1,0.7,58,42110,Iker Muniain,4-2-3-1,5-3-2,Juan Pulido,Match Report,
2022-10-08,18:30,La Liga,Matchweek 8,Sat,Away,D,1,1,Sevilla,1.7,1.0,55,36502,Iker Muniain,4-2-3-1,4-2-3-1,Jesús Gil,Match Report,
2022-10-15,21:00,La Liga,Matchweek 9,Sat,Home,L,0,1,Atlético Madrid,1.2,0.3,60,48391,Iker Muniain,4-2-3-1,4-4-2,Jorge Figueroa,Match Report,
2022-10-18,20:00,La Liga,Matchweek 10,Tue,Away,D,2,2,Getafe,1.0,0.8,59,11395,Iker Muniain,4-2-3-1,5-3-2,José Luis Munuera,Match Report,
2022-10-23,21:00,La Liga,Matchweek 11,Sun,Away,L,0,4,Barcelona,0.5,1.4,35,84817,Óscar de Marcos,4-2-3-1,4-3-3,Juan Martínez,Match Report,
