Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-27,21:00,La Liga,Matchweek 3,Sun,Home,W,4,0,Villarreal,2.6,0.2,57,,Lionel Messi,4-2-3-1,4-4-2,Guillermo Cuadra,Match Report,
2020-10-01,21:30,La Liga,Matchweek 4,Thu,Away,W,3,0,Celta Vigo,0.7,0.5,56,,Lionel Messi,4-2-3-1,5-3-2,Carlos del Cerro,Match Report,
2020-10-04,21:00,La Liga,Matchweek 5,Sun,Home,D,1,1,Sevilla,1.0,1.5,55,,Lionel Messi,4-2-3-1,4-3-3,Jesús Gil,Match Report,
2020-10-17,21:00,La Liga,Matchweek 6,Sat,Away,L,0,1,Getafe,0.7,1.6,72,,Lionel Messi,4-2-3-1,4-4-2,César Soto,Match Report,
2020-10-20,21:00,Champions Lg,Group stage,Tue,Home,W,5,1,hu Ferencváros,2.8,1.3,61,,Lionel Messi,4-2-3-1,4-2-3-1,Sandro Schärer,Match Report,
2020-10-24,16:00,La Liga,Matchweek 7,Sat,Home,L,1,3,Real Madrid,1.8,3.0,53,,Lionel Messi,4-4-2,4-3-3,Juan Martínez,Match Report,
2020-10-28,21:00,Champions Lg,Group stage,Wed,Away,W,2,0,it Juventus,2.3,0.4,58,,Lionel Messi,4-2-3-1,4-2-3-1,Danny Makkelie,Match Report,
2020-10-31,21:00,La Liga,Matchweek 8,Sat,Away,D,1,1,Alavés,1.9,1.2,79,,Lionel Messi,4-2-3-1,4-1-4-1,Alejandro Hernández,Match Report,
2020-11-04,21:00,Champions Lg,Group stage,Wed,Home,W,2,1,ua Dynamo Kyiv,3.5,2.7,63,,Lionel Messi,4-2-3-1,4-2-3-1,Michael Oliver,Match Report,
2020-11-07,16:15,La Liga,Matchweek 9,Sat,Home,W,5,2,Betis,3.4,1.1,59,,Sergio Busquets,4-4-2,4-2-3-1,Guillermo Cuadra,Match Report,
2020-11-21,21:00,La Liga,Matchweek 10,Sat,Away,L,0,1,Atlético Madrid,0.9,0.5,54,,Lionel Messi,4-2-3-1,5-3-2,José Luis Munuera,Match Report,
2020-11-24,22:00,Champions Lg,Group stage,Tue,Away,W,4,0,ua Dynamo Kyiv,3.0,0.3,69,,Marc-André ter Stegen,4-2-3-1,4-4-1-1,Matej Jug,Match Report,
2020-11-29,14:00,La Liga,Matchweek 11,Sun,Home,W,4,0,Osasuna,3.7,1.5,71,,Lionel Messi,4-3-3,4-4-2,Antonio Matéu Lahoz,Match Report,
2020-12-02,21:00,Champions Lg,Group stage,Wed,Away,W,3,0,hu Ferencváros,4.0,0.8,62,,Sergio Busquets,4-2-3-1,5-4-1,Aliaksei Kulbakou,Match Report,
2020-12-05,21:00,La Liga,Matchweek 12,Sat,Away,L,1,2,Cádiz,1.5,2.5,82,,Lionel Messi,4-2-3-1,4-1-4-1,César Soto,Match Report,
2020-12-08,21:00,Champions Lg,Group stage,Tue,Home,L,0,3,it Juventus,0.9,2.9,59,,Lionel Messi,4-2-3-1,3-5-2,Tobias Stieler,Match Report,
2020-12-13,21:00,La Liga,Matchweek 13,Sun,Home,W,1,0,Levante,2.1,1.0,63,,Lionel Messi,4-2-3-1,4-4-2,Ricardo de Burgos,Match Report,
2020-12-16,21:00,La Liga,Matchweek 19,Wed,Home,W,2,1,Real Sociedad,2.5,1.8,53,,Lionel Messi,4-2-3-1,4-3-3,José Sánchez,Match Report,
2020-12-19,16:15,La Liga,Matchweek 14,Sat,Home,D,2,2,Valencia,2.3,1.6,72,,Lionel Messi,4-1-4-1,4-4-2,Alejandro Hernández,Match Report,
2020-12-22,22:00,La Liga,Matchweek 15,Tue,Away,W,3,0,Valladolid,3.0,0.8,61,,Lionel Messi,3-4-3,4-4-2,Mario Melero,Match Report,
2020-12-29,19:15,La Liga,Matchweek 16,Tue,Home,D,1,1,Eibar,2.2,0.6,72,,Marc-André ter Stegen,3-4-3,4-2-3-1,Alberola Rojas,Match Report,
2021-01-03,21:00,La Liga,Matchweek 17,Sun,Away,W,1,0,Huesca,3.0,0.8,69,,Lionel Messi,4-3-3,4-3-3,Guillermo Cuadra,Match Report,
2021-01-06,21:00,La Liga,Matchweek 2,Wed,Away,W,3,2,Athletic Club,1.6,0.6,57,,Lionel Messi,4-3-3,4-4-2,Carlos del Cerro,Match Report,
2021-01-09,18:30,La Liga,Matchweek 18,Sat,Away,W,4,0,Granada,0.9,0.5,72,,Lionel Messi,4-3-3,4-2-3-1,Ricardo de Burgos,Match Report,
2021-01-13,21:00,Supercopa de España,Semi-finals,Wed,Away,D,1 (3),1 (2),Real Sociedad,,,63,,Sergio Busquets,4-2-3-1,4-3-3,José Luis Munuera,Match Report,Barcelona won on penalty kicks following extra time
2021-01-17,21:00,Supercopa de España,Final,Sun,Home,L,2,3,Athletic Club,,,68,,Lionel Messi,4-3-3,4-4-2,Jesús Gil,Match Report,Required Extra Time
2021-01-21,21:00,Copa del Rey,Round of 32,Thu,Away,W,2,0,Cornellà,,,73,,Clément Lenglet,4-3-3,4-4-2,César Soto,Match Report,Required Extra Time
2021-01-24,16:15,La Liga,Matchweek 20,Sun,Away,W,2,0,Elche,2.6,0.5,65,,Sergio Busquets,4-3-3,4-1-4-1,Valentín Pizarro,Match Report,
2021-01-27,21:00,Copa del Rey,Round of 16,Wed,Away,W,2,1,Rayo Vallecano,,,70,,Lionel Messi,4-3-3,4-1-4-1,Guillermo Cuadra,Match Report,
2021-01-31,21:00,La Liga,Matchweek 21,Sun,Home,W,2,1,Athletic Club,1.9,0.3,58,,Lionel Messi,4-2-3-1,4-4-2,Antonio Matéu Lahoz,Match Report,
2021-02-03,21:00,Copa del Rey,Quarter-finals,Wed,Away,W,5,3,Granada,,,79,,Lionel Messi,4-3-3,4-2-3-1,José Sánchez,Match Report,Required Extra Time
2021-02-07,21:00,La Liga,Matchweek 22,Sun,Away,W,3,2,Betis,1.3,1.8,63,,Sergio Busquets,4-3-3,4-2-3-1,Carlos del Cerro,Match Report,
2021-02-10,21:00,Copa del Rey,Semi-finals,Wed,Away,L,0,2,Sevilla,,,54,,Lionel Messi,4-3-3,4-2-3-1,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2021-02-13,21:00,La Liga,Matchweek 23,Sat,Home,W,5,1,Alavés,2.4,0.7,73,,Lionel Messi,4-3-3,4-4-2,Jorge Figueroa,Match Report,
2021-02-16,21:00,Champions Lg,Round of 16,Tue,Home,L,1,4,fr Paris S-G,1.6,2.8,53,,Lionel Messi,4-3-3,4-3-3,Björn Kuipers,Match Report,Leg 1 of 2
2021-02-21,14:00,La Liga,Matchweek 24,Sun,Home,D,1,1,Cádiz,2.2,1.4,81,,Lionel Messi,4-3-3,4-1-4-1,Juan Martínez,Match Report,
2021-02-24,19:00,La Liga,Matchweek 1,Wed,Home,W,3,0,Elche,2.7,0.3,65,,Lionel Messi,4-3-3,3-4-3,Isidro Díaz de Mera,Match Report,
2021-02-27,16:15,La Liga,Matchweek 25,Sat,Away,W,2,0,Sevilla,1.6,0.2,55,,Lionel Messi,3-1-4-2,4-2-3-1,Alejandro Hernández,Match Report,
2021-03-03,21:00,Copa del Rey,Semi-finals,Wed,Home,W,3,0,Sevilla,,,68,,Lionel Messi,3-1-4-2,4-3-3,José Sánchez,Match Report,Leg 2 of 2; Barcelona won; Required Extra Time
2021-03-06,21:00,La Liga,Matchweek 26,Sat,Away,W,2,0,Osasuna,0.8,0.8,63,,Lionel Messi,3-1-4-2,4-4-2,Guillermo Cuadra,Match Report,
2021-03-10,21:00,Champions Lg,Round of 16,Wed,Away,D,1,1,fr Paris S-G,2.2,1.7,72,,Lionel Messi,3-4-1-2,4-3-3,Anthony Taylor,Match Report,Leg 2 of 2; Paris S-G won
2021-03-15,21:00,La Liga,Matchweek 27,Mon,Home,W,4,1,Huesca,1.1,2.2,69,,Lionel Messi,3-4-3,5-3-2,Adrián Cordero,Match Report,
2021-03-21,21:00,La Liga,Matchweek 28,Sun,Away,W,6,1,Real Sociedad,2.8,0.9,69,,Lionel Messi,3-4-3,3-4-3,José Luis Munuera,Match Report,
2021-04-05,21:00,La Liga,Matchweek 29,Mon,Home,W,1,0,Valladolid,1.6,0.4,68,,Lionel Messi,3-4-3,3-5-2,Santiago Jaime,Match Report,
2021-04-10,21:00,La Liga,Matchweek 30,Sat,Away,L,1,2,Real Madrid,1.3,1.5,69,,Lionel Messi,3-4-3,4-1-4-1,Jesús Gil,Match Report,
2021-04-17,21:30,Copa del Rey,Final,Sat,Neutral,W,4,0,Athletic Club,,,77,,Lionel Messi,3-1-4-2,4-4-2,Juan Martínez,Match Report,
2021-04-22,22:00,La Liga,Matchweek 31,Thu,Home,W,5,2,Getafe,1.7,1.5,80,,Lionel Messi,3-5-2,4-3-3,Jorge Figueroa,Match Report,
2021-04-25,16:15,La Liga,Matchweek 32,Sun,Away,W,2,1,Villarreal,2.8,0.9,56,,Lionel Messi,3-1-4-2,4-4-2,Carlos del Cerro,Match Report,
2021-04-29,19:00,La Liga,Matchweek 33,Thu,Home,L,1,2,Granada,1.4,0.7,81,,Lionel Messi,3-1-4-2,3-4-3,Pablo González,Match Report,
2021-05-02,21:00,La Liga,Matchweek 34,Sun,Away,W,3,2,Valencia,3.0,1.2,68,,Lionel Messi,3-1-4-2,5-3-2,José Sánchez,Match Report,
2021-05-08,16:15,La Liga,Matchweek 35,Sat,Home,D,0,0,Atlético Madrid,0.9,0.8,59,,Lionel Messi,3-1-4-2,3-4-3,Antonio Matéu Lahoz,Match Report,
2021-05-11,22:00,La Liga,Matchweek 36,Tue,Away,D,3,3,Levante,2.7,1.1,60,,Lionel Messi,3-1-4-2,4-4-2,José Luis Munuera,Match Report,
2021-05-16,18:30,La Liga,Matchweek 37,Sun,Home,L,1,2,Celta Vigo,2.5,0.7,64,,Lionel Messi,3-1-4-2,4-4-2,Ricardo de Burgos,Match Report,
2021-05-22,18:00,La Liga,Matchweek 38,Sat,Away,W,1,0,Eibar,0.3,1.7,67,,Sergio Busquets,3-4-3,4-4-2,Santiago Jaime,Match Report,
