Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-08-14,17:30,La Liga,Matchweek 1,Sun,Home,L,0,1,Real Sociedad,0.2,1.7,41,16570,José Mari,4-4-2,4-1-2-1-2,Isidro Díaz de Mera,Match Report,
2022-08-20,17:30,La Liga,Matchweek 2,Sat,Away,L,0,2,Osasuna,1.0,2.7,45,18587,Alfonso Espino,4-4-2,4-4-2,Antonio Matéu Lahoz,Match Report,
2022-08-29,20:00,La Liga,Matchweek 3,Mon,Home,L,0,4,Athletic Club,0.4,2.4,38,17029,José Mari,4-4-2,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
2022-09-02,21:00,La Liga,Matchweek 4,Fri,Away,L,0,3,Celta Vigo,0.3,0.7,42,14510,Alfonso Espino,4-1-4-1,4-1-3-2,Juan Pulido,Match Report,
2022-09-10,18:30,La Liga,Matchweek 5,Sat,Home,L,0,4,Barcelona,0.4,3.4,30,19530,Álex Fernández,4-2-3-1,4-3-3,Carlos del Cerro,Match Report,
2022-09-16,21:00,La Liga,Matchweek 6,Fri,Away,W,1,0,Valladolid,0.3,1.5,43,20295,Álex Fernández,4-2-3-1,4-3-3,José Sánchez,Match Report,
2022-10-01,14:00,La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,0.7,1.6,40,15516,Alfonso Espino,4-4-2,4-4-2,Javier Villanueva,Match Report,
2022-10-09,16:15,La Liga,Matchweek 8,Sun,Home,D,2,2,Espanyol,1.3,1.3,54,16572,Alfonso Espino,4-4-2,4-2-3-1,Alejandro Hernández,Match Report,
2022-10-15,14:00,La Liga,Matchweek 9,Sat,Away,D,1,1,Girona,1.1,2.3,35,9927,Álex Fernández,4-4-2,5-3-2,Ricardo de Burgos,Match Report,
2022-10-19,19:00,La Liga,Matchweek 10,Wed,Home,D,0,0,Betis,0.9,0.9,41,18505,Álex Fernández,4-4-2,4-2-3-1,Antonio Matéu Lahoz,Match Report,
2022-10-22,14:00,La Liga,Matchweek 11,Sat,Away,L,1,5,Rayo Vallecano,0.2,3.7,38,12975,Álex Fernández,4-4-2,4-4-2,Alejandro Muñíz,Match Report,
2022-10-29,16:15,La Liga,Matchweek 12,Sat,Home,W,3,2,Atlético Madrid,1.1,1.3,41,18183,Álex Fernández,4-4-2,3-5-2,José Sánchez,Match Report,
2022-11-05,14:00,La Liga,Matchweek 13,Sat,Away,D,0,0,Getafe,1.4,0.6,47,10554,Álex Fernández,4-4-2,5-3-2,Alejandro Hernández,Match Report,
2022-11-10,21:30,La Liga,Matchweek 14,Thu,Away,L,1,2,Real Madrid,0.9,2.0,34,53190,Álex Fernández,4-4-2,4-3-3,César Soto,Match Report,
2022-11-13,18:30,Copa del Rey,First round,Sun,Away,L,2,3,Real Unión,,,60,3000,José Mari,4-4-2,4-3-3,Miguel Ángel Ortiz Arias,Match Report,
2022-12-30,19:15,La Liga,Matchweek 15,Fri,Home,D,1,1,Almería,1.3,2.3,49,17345,Álex Fernández,4-4-2,4-1-4-1,Juan Martínez,Match Report,
2023-01-06,21:00,La Liga,Matchweek 16,Fri,Away,W,1,0,Valencia,0.4,0.4,27,39003,Álex Fernández,4-2-3-1,4-3-3,Pablo González,Match Report,
2023-01-16,21:00,La Liga,Matchweek 17,Mon,Home,D,1,1,Elche,1.6,0.6,50,17389,Álex Fernández,4-4-1-1,3-4-3,Carlos del Cerro,Match Report,
2023-01-21,21:00,La Liga,Matchweek 18,Sat,Away,L,0,1,Sevilla,0.1,1.7,25,37400,Álex Fernández,4-4-2,3-4-3,Alejandro Hernández,Match Report,
2023-01-28,14:00,La Liga,Matchweek 19,Sat,Home,W,2,0,Mallorca,1.9,0.4,43,16117,Álex Fernández,4-4-2,5-4-1,Ricardo de Burgos,Match Report,
2023-02-03,21:00,La Liga,Matchweek 20,Fri,Away,L,1,4,Athletic Club,1.6,1.7,58,42916,Álex Fernández,4-1-4-1,4-1-4-1,Valentín Pizarro,Match Report,
2023-02-10,21:00,La Liga,Matchweek 21,Fri,Home,W,2,0,Girona,0.7,0.2,43,14873,Alfonso Espino,4-4-2,4-4-2,Juan Pulido,Match Report,
2023-02-19,21:00,La Liga,Matchweek 22,Sun,Away,L,0,2,Barcelona,1.0,2.2,36,72010,Álex Fernández,4-2-3-1,4-3-3,Pablo González,Match Report,
2023-02-25,16:15,La Liga,Matchweek 23,Sat,Home,W,1,0,Rayo Vallecano,0.8,0.6,42,16703,Alfonso Espino,4-4-2,4-4-2,Alejandro Muñíz,Match Report,
2023-03-03,21:00,La Liga,Matchweek 24,Fri,Away,D,0,0,Real Sociedad,0.6,1.2,29,28733,Álex Fernández,4-2-3-1,4-1-3-2,Antonio Matéu,Match Report,
