Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-08-15,17:30,La Liga,Matchweek 1,Sun,Home,L,1,2,Atlético Madrid,2.3,1.5,53,5401,Hugo Mallo,4-1-3-2,3-1-4-2,José Luis Munuera,Match Report,
2021-08-23,22:00,La Liga,Matchweek 2,Mon,Away,D,0,0,Osasuna,0.1,2.0,53,7189,Iago Aspas,4-1-3-2,4-1-4-1,Alberola Rojas,Match Report,
2021-08-28,17:00,La Liga,Matchweek 3,Sat,Home,L,0,1,Athletic Club,1.1,1.4,62,5492,Hugo Mallo,4-1-3-2,4-4-2,Antonio Matéu Lahoz,Match Report,
2021-09-12,21:00,La Liga,Matchweek 4,Sun,Away,L,2,5,Real Madrid,1.8,3.2,40,19874,Hugo Mallo,4-1-3-2,4-4-2,José Sánchez,Match Report,
2021-09-17,21:00,La Liga,Matchweek 5,Fri,Home,L,1,2,Cádiz,1.0,1.1,77,6754,Hugo Mallo,4-1-3-2,4-1-4-1,Isidro Díaz de Mera,Match Report,
2021-09-21,22:00,La Liga,Matchweek 6,Tue,Away,W,2,0,Levante,0.7,1.7,54,11989,Hugo Mallo,4-1-3-2,3-5-2,Jorge Figueroa,Match Report,
2021-09-27,21:00,La Liga,Matchweek 7,Mon,Home,W,1,0,Granada,1.3,0.8,72,6375,Hugo Mallo,4-1-3-2,4-4-2,César Soto,Match Report,
2021-10-03,14:00,La Liga,Matchweek 8,Sun,Away,L,0,1,Elche,0.5,1.3,55,11299,Hugo Mallo,4-1-3-2,3-5-2,José Luis Munuera,Match Report,
2021-10-17,16:15,La Liga,Matchweek 9,Sun,Home,L,0,1,Sevilla,1.2,1.0,46,10774,Hugo Mallo,4-1-3-2,4-3-3,Ricardo de Burgos,Match Report,
2021-10-25,21:00,La Liga,Matchweek 10,Mon,Away,W,3,0,Getafe,1.6,0.5,65,7630,Hugo Mallo,4-1-3-2,4-4-1-1,Juan Martínez,Match Report,
2021-10-28,19:00,La Liga,Matchweek 11,Thu,Home,L,0,2,Real Sociedad,1.4,1.7,58,8726,Hugo Mallo,4-1-3-2,4-2-3-1,Mario Melero,Match Report,
2021-11-01,18:30,La Liga,Matchweek 12,Mon,Away,D,0,0,Rayo Vallecano,0.6,0.6,47,9580,Brais Méndez,4-1-3-2,4-2-3-1,Adrián Cordero,Match Report,
2021-11-06,16:15,La Liga,Matchweek 13,Sat,Home,D,3,3,Barcelona,1.5,0.9,52,13146,Hugo Mallo,4-1-3-2,4-3-3,Alejandro Hernández,Match Report,
2021-11-20,14:00,La Liga,Matchweek 14,Sat,Home,D,1,1,Villarreal,1.0,2.8,57,10086,Iago Aspas,4-1-3-2,4-4-1-1,Alberola Rojas,Match Report,
2021-11-27,14:00,La Liga,Matchweek 15,Sat,Away,W,2,1,Alavés,1.2,0.9,58,10093,Iago Aspas,4-1-3-2,4-3-3,Pablo González,Match Report,
2021-11-30,21:00,Copa del Rey,First round,Tue,Away,W,5,0,Ebro,,,69,6500,Hugo Mallo,4-1-3-2,5-3-2,Antonio Matéu Lahoz,Match Report,
