Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Alavés,2,38,38,3415,38.0,36,0.95,102,65,69.6,18,11,9,13,34.2,8,5,2,1,28.6
vs Athletic Club,2,38,38,3420,38.0,46,1.21,133,89,68.4,14,13,11,12,31.6,5,4,1,0,20.0
vs Atlético Madrid,1,38,38,3420,38.0,67,1.76,184,118,66.3,4,8,26,7,18.4,7,5,1,1,16.7
vs Barcelona,2,38,38,3420,38.0,85,2.24,238,155,66.0,7,7,24,3,7.9,8,4,3,1,42.9
vs Betis,2,38,38,3420,38.0,50,1.32,156,103,73.1,11,10,17,9,23.7,11,8,3,0,27.3
vs Cádiz,3,38,38,3420,38.0,36,0.95,101,68,68.3,16,11,11,13,34.2,4,4,0,0,0.0
vs Celta Vigo,2,38,38,3420,38.0,55,1.45,140,85,65.7,13,11,14,10,26.3,7,7,0,0,0.0
vs Eibar,2,38,38,3420,38.0,29,0.76,135,102,81.5,20,12,6,14,36.8,9,4,4,1,50.0
vs Elche,2,38,38,3420,38.0,34,0.89,88,55,63.6,18,12,8,13,34.2,3,2,0,1,0.0
vs Getafe,2,38,38,3420,38.0,28,0.74,102,73,75.5,18,11,9,21,55.3,5,3,2,0,40.0
vs Granada,3,38,38,3420,38.0,47,1.24,125,77,64.8,18,7,13,8,21.1,5,3,1,1,25.0
vs Huesca,2,38,38,3420,38.0,34,0.89,133,100,76.7,18,13,7,16,42.1,4,3,0,1,0.0
vs Levante,3,38,38,3420,38.0,46,1.21,131,83,67.2,15,14,9,11,28.9,6,3,3,0,50.0
vs Osasuna,3,38,38,3420,38.0,37,0.97,120,83,73.3,16,11,11,15,39.5,6,5,1,0,16.7
vs Real Madrid,1,38,38,3420,38.0,67,1.76,170,106,62.4,4,9,25,5,13.2,3,3,0,0,0.0
vs Real Sociedad,1,38,38,3420,38.0,59,1.55,150,90,66.7,10,11,17,6,15.8,12,9,2,1,18.2
vs Sevilla,2,38,38,3420,38.0,53,1.39,142,89,66.9,9,5,24,7,18.4,7,6,1,0,14.3
vs Valencia,2,38,38,3418,38.0,50,1.32,138,89,69.6,15,13,10,9,23.7,10,8,1,1,11.1
vs Valladolid,2,38,38,3420,38.0,34,0.89,118,83,77.1,17,16,5,14,36.8,8,7,1,0,12.5
vs Villarreal,2,38,38,3420,38.0,60,1.58,159,101,69.8,10,13,15,7,18.4,13,12,1,0,7.7
