Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Barcelona,19,14,1,4,52,20,32,43,2.26,51.3,16.3,35.0,1.84,19,14,3,2,50,19,31,45,2.37,40.2,25.6,14.6,0.77
2,Real Madrid,19,16,1,2,45,19,26,49,2.58,46.6,18.2,28.5,1.5,19,10,5,4,33,19,14,35,1.84,28.6,24.6,4.0,0.21
3,Atlético Madrid,19,14,4,1,42,15,27,46,2.42,40.7,14.6,26.2,1.38,19,8,6,5,26,15,11,30,1.58,23.9,18.8,5.1,0.27
4,Athletic Club,19,11,6,2,32,13,19,39,2.05,31.3,18.2,13.1,0.69,19,8,7,4,22,16,6,31,1.63,21.7,19.5,2.1,0.11
5,Villarreal,19,9,7,3,43,27,16,34,1.79,36.0,24.3,11.7,0.62,19,11,3,5,28,24,4,36,1.89,28.8,20.1,8.7,0.46
6,Betis,19,9,7,3,32,21,11,34,1.79,32.3,18.7,13.6,0.72,19,7,5,7,25,29,-4,26,1.37,22.3,31.9,-9.5,-0.5
7,Celta Vigo,19,11,3,5,32,21,11,36,1.89,27.8,19.3,8.5,0.45,19,5,4,10,27,36,-9,19,1.0,26.5,24.1,2.4,0.13
8,Rayo Vallecano,19,6,8,5,24,26,-2,26,1.37,25.9,19.9,6.0,0.32,19,7,5,7,17,19,-2,26,1.37,19.5,29.1,-9.6,-0.51
9,Osasuna,19,10,6,3,33,23,10,36,1.89,25.1,22.8,2.3,0.12,19,2,10,7,15,29,-14,16,0.84,18.9,30.9,-11.9,-0.63
10,Mallorca,19,7,6,6,20,21,-1,27,1.42,19.9,22.2,-2.3,-0.12,19,6,3,10,15,23,-8,21,1.11,18.8,24.6,-5.8,-0.31
11,Real Sociedad,19,8,3,8,20,20,0,27,1.42,24.0,18.7,5.3,0.28,19,5,4,10,15,26,-11,19,1.0,18.5,25.2,-6.7,-0.35
12,Valencia,19,9,4,6,26,20,6,31,1.63,24.3,19.4,4.9,0.26,19,2,9,8,18,34,-16,15,0.79,18.9,32.5,-13.5,-0.71
13,Getafe,19,4,7,8,15,19,-4,19,1.0,20.3,19.6,0.7,0.04,19,7,2,10,19,20,-1,23,1.21,16.5,26.7,-10.2,-0.53
14,Espanyol,19,8,6,5,23,20,3,30,1.58,19.4,22.3,-2.9,-0.15,19,3,3,13,17,31,-14,12,0.63,15.0,31.5,-16.5,-0.87
15,Alavés,19,6,6,7,14,17,-3,24,1.26,21.1,19.9,1.2,0.07,19,4,6,9,24,31,-7,18,0.95,21.7,27.1,-5.4,-0.29
16,Girona,19,7,3,9,27,30,-3,24,1.26,25.8,24.3,1.5,0.08,19,4,5,10,17,30,-13,17,0.89,16.6,26.1,-9.5,-0.5
17,Sevilla,19,6,6,7,17,23,-6,24,1.26,22.3,21.4,0.9,0.05,19,4,5,10,25,32,-7,17,0.89,20.4,26.0,-5.6,-0.29
18,Leganés,19,7,4,8,23,27,-4,25,1.32,20.1,27.1,-7.0,-0.37,19,2,9,8,16,29,-13,15,0.79,15.9,32.3,-16.3,-0.86
19,Las Palmas,19,4,5,10,21,29,-8,17,0.89,21.3,28.1,-6.8,-0.36,19,4,3,12,19,32,-13,15,0.79,15.0,38.7,-23.7,-1.25
20,Valladolid,19,3,4,12,11,32,-21,13,0.68,18.7,28.5,-9.7,-0.51,19,1,0,18,15,58,-43,3,0.16,15.9,39.1,-23.2,-1.22
