Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Alavés,29,38.0,46,395,121,30.6,10.39,3.18,0.09,0.29,17.6,17,11,11,47.0,38.5,0.1,-1.0,-3.5
vs Athletic Club,31,38.0,28,338,108,32.0,8.89,2.84,0.07,0.23,17.6,9,3,5,37.8,33.9,0.1,-9.8,-8.9
vs Atlético Madrid,24,38.0,28,387,111,28.7,10.18,2.92,0.06,0.21,18.6,14,5,5,33.4,29.5,0.08,-5.4,-6.5
vs Barcelona,28,38.0,39,290,104,35.9,7.63,2.74,0.12,0.34,17.5,7,4,4,41.9,38.8,0.13,-2.9,-3.8
vs Betis,36,38.0,49,418,137,32.8,11.0,3.61,0.11,0.33,17.3,11,4,4,50.6,47.4,0.12,-1.6,-2.4
vs Celta Vigo,30,38.0,55,399,141,35.3,10.5,3.71,0.13,0.37,16.8,9,3,4,43.4,40.0,0.1,11.6,12.0
vs Espanyol,27,38.0,50,561,186,33.2,14.76,4.89,0.08,0.25,18.0,22,4,6,53.8,49.0,0.09,-3.8,-3.0
vs Getafe,30,38.0,39,362,117,32.3,9.53,3.08,0.09,0.26,17.9,12,8,9,46.2,39.4,0.11,-7.2,-8.4
vs Girona,30,38.0,59,450,158,35.1,11.84,4.16,0.12,0.35,18.1,16,3,6,50.4,45.7,0.1,8.6,10.3
vs Las Palmas,34,38.0,58,530,173,32.6,13.95,4.55,0.1,0.31,17.4,18,5,10,66.8,59.3,0.11,-8.8,-6.3
vs Leganés,26,38.0,53,563,168,29.8,14.82,4.42,0.08,0.27,17.6,15,7,8,59.4,53.1,0.1,-6.4,-7.1
vs Mallorca,28,38.0,43,565,162,28.7,14.87,4.26,0.07,0.25,18.5,9,3,3,46.8,44.5,0.08,-3.8,-4.5
vs Osasuna,25,38.0,51,461,180,39.0,12.13,4.74,0.1,0.24,18.1,22,7,7,53.7,48.3,0.11,-2.7,-4.3
vs Rayo Vallecano,26,38.0,44,461,145,31.5,12.13,3.82,0.08,0.26,17.4,11,6,8,49.0,42.7,0.09,-5.0,-4.7
vs Real Madrid,30,38.0,37,402,123,30.6,10.58,3.24,0.08,0.28,18.1,9,3,3,42.8,40.8,0.11,-5.8,-6.8
vs Real Sociedad,31,38.0,46,432,135,31.3,11.37,3.55,0.09,0.3,18.7,14,5,7,43.9,38.3,0.09,2.1,2.7
vs Sevilla,35,38.0,54,409,142,34.7,10.76,3.74,0.12,0.35,17.8,15,5,6,47.4,42.7,0.11,6.6,6.3
vs Valencia,32,38.0,51,417,140,33.6,10.97,3.68,0.11,0.32,17.7,11,6,9,51.9,44.9,0.11,-0.9,0.1
vs Valladolid,38,38.0,89,592,197,33.3,15.58,5.18,0.14,0.42,17.7,28,7,7,67.6,62.4,0.11,21.4,19.6
vs Villarreal,31,38.0,50,475,153,32.2,12.5,4.03,0.09,0.28,18.5,13,7,8,44.4,38.2,0.08,5.6,4.8
