Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-27,La Liga,Home,Granada,6,1,W
2020-09-30,La Liga,Away,Huesca,0,0,D
2020-10-03,La Liga,Home,Villarreal,0,0,D
2020-10-17,La Liga,Away,Celta Vigo,2,0,W
2020-10-24,La Liga,Home,Betis,2,0,W
2020-10-31,La Liga,Away,Osasuna,3,1,W
2020-11-07,La Liga,Home,Cádiz,4,0,W
2020-11-21,La Liga,Home,Barcelona,1,0,W
2020-11-28,La Liga,Away,Valencia,1,0,W
2020-12-05,La Liga,Home,Valladolid,2,0,W
2020-12-12,La Liga,Away,Real Madrid,0,2,L
2020-12-19,La Liga,Home,Elche,3,1,W
2020-12-22,La Liga,Away,Real Sociedad,2,0,W
2020-12-30,La Liga,Home,Getafe,1,0,W
2021-01-03,La Liga,Away,Alavés,2,1,W
2021-01-12,La Liga,Home,Sevilla,2,0,W
2021-01-21,La Liga,Away,Eibar,2,1,W
2021-01-24,La Liga,Home,Valencia,3,1,W
2021-01-31,La Liga,Away,Cádiz,4,2,W
2021-02-08,La Liga,Home,Celta Vigo,2,2,D
2021-02-13,La Liga,Away,Granada,2,1,W
2021-02-17,La Liga,Away,Levante,1,1,D
2021-02-20,La Liga,Home,Levante,0,2,L
2021-02-28,La Liga,Away,Villarreal,2,0,W
2021-03-07,La Liga,Home,Real Madrid,1,1,D
2021-03-10,La Liga,Home,Athletic Club,2,1,W
2021-03-13,La Liga,Away,Getafe,0,0,D
2021-03-21,La Liga,Home,Alavés,1,0,W
2021-04-04,La Liga,Away,Sevilla,0,1,L
2021-04-11,La Liga,Away,Betis,1,1,D
2021-04-18,La Liga,Home,Eibar,5,0,W
2021-04-22,La Liga,Home,Huesca,2,0,W
2021-04-25,La Liga,Away,Athletic Club,1,2,L
2021-05-01,La Liga,Away,Elche,1,0,W
2021-05-08,La Liga,Away,Barcelona,0,0,D
2021-05-12,La Liga,Home,Real Sociedad,2,1,W
2021-05-16,La Liga,Home,Osasuna,2,1,W
2021-05-22,La Liga,Away,Valladolid,2,1,W
