Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-26,La Liga,Home,Real Sociedad,0,3,L
2020-09-30,La Liga,Away,Eibar,1,0,W
2020-10-03,La Liga,Home,Huesca,0,0,D
2020-10-18,La Liga,Away,Alavés,2,0,W
2020-10-23,La Liga,Home,Valencia,2,1,W
2020-11-01,La Liga,Away,Betis,1,3,L
2020-11-06,La Liga,Home,Celta Vigo,1,1,D
2020-11-21,La Liga,Away,Levante,1,1,D
2020-11-28,La Liga,Home,Cádiz,1,1,D
2020-12-06,La Liga,Away,Villarreal,0,0,D
2020-12-13,La Liga,Home,Granada,0,1,L
2020-12-19,La Liga,Away,Atlético Madrid,1,3,L
2020-12-22,La Liga,Home,Osasuna,2,2,D
2020-12-30,La Liga,Home,Real Madrid,1,1,D
2021-01-03,La Liga,Away,Athletic Club,0,1,L
2021-01-11,La Liga,Home,Getafe,1,3,L
2021-01-19,La Liga,Away,Valladolid,2,2,D
2021-01-24,La Liga,Home,Barcelona,0,2,L
2021-01-30,La Liga,Away,Valencia,0,1,L
2021-02-06,La Liga,Home,Villarreal,2,2,D
2021-02-12,La Liga,Away,Celta Vigo,1,3,L
2021-02-20,La Liga,Home,Eibar,1,0,W
2021-02-24,La Liga,Away,Barcelona,0,3,L
2021-02-28,La Liga,Away,Granada,1,2,L
2021-03-06,La Liga,Home,Sevilla,2,1,W
2021-03-13,La Liga,Away,Real Madrid,1,2,L
2021-03-17,La Liga,Away,Sevilla,0,2,L
2021-03-21,La Liga,Away,Getafe,1,1,D
2021-04-04,La Liga,Home,Betis,1,1,D
2021-04-09,La Liga,Away,Huesca,1,3,L
2021-04-18,La Liga,Away,Osasuna,0,2,L
2021-04-21,La Liga,Home,Valladolid,1,1,D
2021-04-24,La Liga,Home,Levante,1,0,W
2021-05-01,La Liga,Home,Atlético Madrid,0,1,L
2021-05-07,La Liga,Away,Real Sociedad,0,2,L
2021-05-11,La Liga,Home,Alavés,0,2,L
2021-05-16,La Liga,Away,Cádiz,3,1,W
2021-05-22,La Liga,Home,Athletic Club,2,0,W
