Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-12,La Liga,Home,Athletic Club,2,0,W
2020-09-20,La Liga,Home,Alavés,2,1,W
2020-09-27,La Liga,Away,Atlético Madrid,1,6,L
2020-10-04,La Liga,Away,Cádiz,1,1,D
2020-10-17,La Liga,Home,Sevilla,1,0,W
2020-10-25,La Liga,Away,Getafe,1,0,W
2020-11-01,La Liga,Home,Levante,1,1,D
2020-11-08,La Liga,Away,Real Sociedad,0,2,L
2020-11-22,La Liga,Home,Valladolid,1,3,L
2020-11-29,La Liga,Away,Celta Vigo,1,3,L
2020-12-06,La Liga,Home,Huesca,3,3,D
2020-12-13,La Liga,Away,Elche,1,0,W
2020-12-20,La Liga,Home,Betis,2,0,W
2020-12-23,La Liga,Away,Real Madrid,0,2,L
2020-12-30,La Liga,Home,Valencia,2,1,W
2021-01-03,La Liga,Away,Eibar,0,2,L
2021-01-09,La Liga,Home,Barcelona,0,4,L
2021-01-12,La Liga,Home,Osasuna,2,0,W
2021-01-20,La Liga,Away,Villarreal,2,2,D
2021-01-24,La Liga,Away,Osasuna,1,3,L
2021-01-31,La Liga,Home,Celta Vigo,0,0,D
2021-02-06,La Liga,Away,Levante,2,2,D
2021-02-13,La Liga,Home,Atlético Madrid,1,2,L
2021-02-21,La Liga,Away,Huesca,2,3,L
2021-02-28,La Liga,Home,Elche,2,1,W
2021-03-07,La Liga,Away,Athletic Club,1,2,L
2021-03-14,La Liga,Home,Real Sociedad,1,0,W
2021-03-21,La Liga,Away,Valencia,1,2,L
2021-04-03,La Liga,Home,Villarreal,0,3,L
2021-04-11,La Liga,Away,Valladolid,2,1,W
2021-04-22,La Liga,Home,Eibar,4,1,W
2021-04-25,La Liga,Away,Sevilla,1,2,L
2021-04-29,La Liga,Away,Barcelona,2,1,W
2021-05-02,La Liga,Home,Cádiz,0,1,L
2021-05-10,La Liga,Away,Betis,1,2,L
2021-05-13,La Liga,Home,Real Madrid,1,4,L
2021-05-16,La Liga,Away,Alavés,2,4,L
2021-05-23,La Liga,Home,Getafe,0,0,D
