Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-12,La Liga,Away,Cádiz,2,0,W
2020-09-19,La Liga,Away,Getafe,0,1,L
2020-09-27,La Liga,Home,Levante,1,3,L
2020-10-04,La Liga,Home,Celta Vigo,2,0,W
2020-10-18,La Liga,Away,Eibar,0,0,D
2020-10-24,La Liga,Home,Athletic Club,1,0,W
2020-10-31,La Liga,Home,Atlético Madrid,1,3,L
2020-11-07,La Liga,Away,Sevilla,0,1,L
2020-11-20,La Liga,Home,Huesca,1,1,D
2020-11-29,La Liga,Away,Barcelona,0,4,L
2020-12-06,La Liga,Home,Betis,0,2,L
2020-12-11,La Liga,Away,Valladolid,2,3,L
2020-12-19,La Liga,Home,Villarreal,1,3,L
2020-12-22,La Liga,Away,Elche,2,2,D
2020-12-31,La Liga,Home,Alavés,1,1,D
2021-01-03,La Liga,Away,Real Sociedad,1,1,D
2021-01-09,La Liga,Home,Real Madrid,0,0,D
2021-01-12,La Liga,Away,Granada,0,2,L
2021-01-21,La Liga,Away,Valencia,1,1,D
2021-01-24,La Liga,Home,Granada,3,1,W
2021-02-01,La Liga,Away,Betis,0,1,L
2021-02-07,La Liga,Home,Eibar,2,1,W
2021-02-14,La Liga,Away,Levante,1,0,W
2021-02-22,La Liga,Home,Sevilla,0,2,L
2021-02-27,La Liga,Away,Alavés,1,0,W
2021-03-06,La Liga,Home,Barcelona,0,2,L
2021-03-13,La Liga,Home,Valladolid,0,0,D
2021-03-20,La Liga,Away,Huesca,0,0,D
2021-04-03,La Liga,Home,Getafe,0,0,D
2021-04-11,La Liga,Away,Villarreal,2,1,W
2021-04-18,La Liga,Home,Elche,2,0,W
2021-04-21,La Liga,Home,Valencia,3,1,W
2021-04-25,La Liga,Away,Celta Vigo,1,2,L
2021-05-01,La Liga,Away,Real Madrid,0,2,L
2021-05-08,La Liga,Away,Athletic Club,2,2,D
2021-05-11,La Liga,Home,Cádiz,3,2,W
2021-05-16,La Liga,Away,Atlético Madrid,1,2,L
2021-05-22,La Liga,Home,Real Sociedad,0,1,L
