Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-20,La Liga,Away,Real Sociedad,0,0,D
2020-09-26,La Liga,Away,Betis,3,2,W
2020-09-30,La Liga,Home,Valladolid,1,0,W
2020-10-04,La Liga,Away,Levante,2,0,W
2020-10-17,La Liga,Home,Cádiz,0,1,L
2020-10-24,La Liga,Away,Barcelona,3,1,W
2020-10-31,La Liga,Home,Huesca,4,1,W
2020-11-08,La Liga,Away,Valencia,1,4,L
2020-11-21,La Liga,Away,Villarreal,1,1,D
2020-11-28,La Liga,Home,Alavés,1,2,L
2020-12-05,La Liga,Away,Sevilla,1,0,W
2020-12-12,La Liga,Home,Atlético Madrid,2,0,W
2020-12-15,La Liga,Home,Athletic Club,3,1,W
2020-12-20,La Liga,Away,Eibar,3,1,W
2020-12-23,La Liga,Home,Granada,2,0,W
2020-12-30,La Liga,Away,Elche,1,1,D
2021-01-02,La Liga,Home,Celta Vigo,2,0,W
2021-01-09,La Liga,Away,Osasuna,0,0,D
2021-01-23,La Liga,Away,Alavés,4,1,W
2021-01-30,La Liga,Home,Levante,1,2,L
2021-02-06,La Liga,Away,Huesca,2,1,W
2021-02-09,La Liga,Home,Getafe,2,0,W
2021-02-14,La Liga,Home,Valencia,2,0,W
2021-02-20,La Liga,Away,Valladolid,1,0,W
2021-03-01,La Liga,Home,Real Sociedad,1,1,D
2021-03-07,La Liga,Away,Atlético Madrid,1,1,D
2021-03-13,La Liga,Home,Elche,2,1,W
2021-03-20,La Liga,Away,Celta Vigo,3,1,W
2021-04-03,La Liga,Home,Eibar,2,0,W
2021-04-10,La Liga,Home,Barcelona,2,1,W
2021-04-18,La Liga,Away,Getafe,0,0,D
2021-04-21,La Liga,Away,Cádiz,3,0,W
2021-04-24,La Liga,Home,Betis,0,0,D
2021-05-01,La Liga,Home,Osasuna,2,0,W
2021-05-09,La Liga,Home,Sevilla,2,2,D
2021-05-13,La Liga,Away,Granada,4,1,W
2021-05-16,La Liga,Away,Athletic Club,1,0,W
2021-05-22,La Liga,Home,Villarreal,2,1,W
