Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-13,La Liga,Away,Valladolid,1,1,D
2020-09-20,La Liga,Home,Real Madrid,0,0,D
2020-09-26,La Liga,Away,Elche,3,0,W
2020-09-29,La Liga,Home,Valencia,0,1,L
2020-10-03,La Liga,Home,Getafe,3,0,W
2020-10-18,La Liga,Away,Betis,3,0,W
2020-10-25,La Liga,Home,Huesca,4,1,W
2020-11-01,La Liga,Away,Celta Vigo,4,1,W
2020-11-08,La Liga,Home,Granada,2,0,W
2020-11-22,La Liga,Away,Cádiz,1,0,W
2020-11-29,La Liga,Home,Villarreal,1,1,D
2020-12-06,La Liga,Away,Alavés,0,0,D
2020-12-13,La Liga,Home,Eibar,1,1,D
2020-12-16,La Liga,Away,Barcelona,1,2,L
2020-12-19,La Liga,Away,Levante,1,2,L
2020-12-22,La Liga,Home,Atlético Madrid,0,2,L
2020-12-31,La Liga,Away,Athletic Club,1,0,W
2021-01-03,La Liga,Home,Osasuna,1,1,D
2021-01-09,La Liga,Away,Sevilla,2,3,L
2021-01-23,La Liga,Home,Betis,2,2,D
2021-01-30,La Liga,Away,Villarreal,1,1,D
2021-02-07,La Liga,Home,Cádiz,4,1,W
2021-02-14,La Liga,Away,Getafe,1,0,W
2021-02-21,La Liga,Home,Alavés,4,0,W
2021-03-01,La Liga,Away,Real Madrid,1,1,D
2021-03-07,La Liga,Home,Levante,1,0,W
2021-03-14,La Liga,Away,Granada,0,1,L
2021-03-21,La Liga,Home,Barcelona,1,6,L
2021-04-07,La Liga,Home,Athletic Club,1,1,D
2021-04-11,La Liga,Away,Valencia,2,2,D
2021-04-18,La Liga,Home,Sevilla,1,2,L
2021-04-22,La Liga,Home,Celta Vigo,2,1,W
2021-04-26,La Liga,Away,Eibar,1,0,W
2021-05-01,La Liga,Away,Huesca,0,1,L
2021-05-07,La Liga,Home,Elche,2,0,W
2021-05-12,La Liga,Away,Atlético Madrid,1,2,L
2021-05-16,La Liga,Home,Valladolid,4,1,W
2021-05-22,La Liga,Away,Osasuna,1,0,W
