Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-27,La Liga,Away,Cádiz,3,1,W
2020-10-01,La Liga,Home,Levante,1,0,W
2020-10-04,La Liga,Away,Barcelona,1,1,D
2020-10-17,La Liga,Away,Granada,0,1,L
2020-10-24,La Liga,Home,Eibar,0,1,L
2020-10-31,La Liga,Away,Athletic Club,1,2,L
2020-11-07,La Liga,Home,Osasuna,1,0,W
2020-11-21,La Liga,Home,Celta Vigo,4,2,W
2020-11-28,La Liga,Away,Huesca,1,0,W
2020-12-05,La Liga,Home,Real Madrid,0,1,L
2020-12-12,La Liga,Away,Getafe,1,0,W
2020-12-19,La Liga,Home,Valladolid,1,1,D
2020-12-22,La Liga,Away,Valencia,1,0,W
2020-12-29,La Liga,Home,Villarreal,2,0,W
2021-01-02,La Liga,Away,Betis,1,1,D
2021-01-09,La Liga,Home,Real Sociedad,3,2,W
2021-01-12,La Liga,Away,Atlético Madrid,0,2,L
2021-01-19,La Liga,Away,Alavés,2,1,W
2021-01-23,La Liga,Home,Cádiz,3,0,W
2021-01-30,La Liga,Away,Eibar,2,0,W
2021-02-06,La Liga,Home,Getafe,3,0,W
2021-02-13,La Liga,Home,Huesca,1,0,W
2021-02-22,La Liga,Away,Osasuna,2,0,W
2021-02-27,La Liga,Home,Barcelona,0,2,L
2021-03-06,La Liga,Away,Elche,1,2,L
2021-03-14,La Liga,Home,Betis,1,0,W
2021-03-17,La Liga,Home,Elche,2,0,W
2021-03-20,La Liga,Away,Valladolid,1,1,D
2021-04-04,La Liga,Home,Atlético Madrid,1,0,W
2021-04-12,La Liga,Away,Celta Vigo,4,3,W
2021-04-18,La Liga,Away,Real Sociedad,2,1,W
2021-04-21,La Liga,Away,Levante,1,0,W
2021-04-25,La Liga,Home,Granada,2,1,W
2021-05-03,La Liga,Home,Athletic Club,0,1,L
2021-05-09,La Liga,Away,Real Madrid,2,2,D
2021-05-12,La Liga,Home,Valencia,1,0,W
2021-05-16,La Liga,Away,Villarreal,0,4,L
2021-05-23,La Liga,Home,Alavés,1,0,W
