Date,Comp,venue,opponent,goals_for,goals_against,result
2020-09-13,La Liga,Home,Real Sociedad,1,1,D
2020-09-20,La Liga,Away,Betis,0,2,L
2020-09-27,La Liga,Home,Celta Vigo,1,1,D
2020-09-30,La Liga,Away,Real Madrid,0,1,L
2020-10-03,La Liga,Home,Eibar,1,2,L
2020-10-18,La Liga,Away,Huesca,2,2,D
2020-10-25,La Liga,Home,Alavés,0,2,L
2020-11-02,La Liga,Away,Villarreal,0,2,L
2020-11-08,La Liga,Home,Athletic Club,2,1,W
2020-11-22,La Liga,Away,Granada,3,1,W
2020-11-27,La Liga,Home,Levante,1,1,D
2020-12-05,La Liga,Away,Atlético Madrid,0,2,L
2020-12-11,La Liga,Home,Osasuna,3,2,W
2020-12-19,La Liga,Away,Sevilla,1,1,D
2020-12-22,La Liga,Home,Barcelona,0,3,L
2020-12-29,La Liga,Away,Cádiz,0,0,D
2021-01-02,La Liga,Away,Getafe,1,0,W
2021-01-10,La Liga,Home,Valencia,0,1,L
2021-01-19,La Liga,Home,Elche,2,2,D
2021-01-22,La Liga,Away,Levante,2,2,D
2021-01-29,La Liga,Home,Huesca,1,3,L
2021-02-05,La Liga,Away,Alavés,0,1,L
2021-02-13,La Liga,Away,Eibar,1,1,D
2021-02-20,La Liga,Home,Real Madrid,0,1,L
2021-02-28,La Liga,Away,Celta Vigo,1,1,D
2021-03-06,La Liga,Home,Getafe,2,1,W
2021-03-13,La Liga,Away,Osasuna,0,0,D
2021-03-20,La Liga,Home,Sevilla,1,1,D
2021-04-05,La Liga,Away,Barcelona,0,1,L
2021-04-11,La Liga,Home,Granada,1,2,L
2021-04-21,La Liga,Away,Elche,1,1,D
2021-04-24,La Liga,Home,Cádiz,1,1,D
2021-04-28,La Liga,Away,Athletic Club,2,2,D
2021-05-02,La Liga,Home,Betis,1,1,D
2021-05-09,La Liga,Away,Valencia,0,3,L
2021-05-13,La Liga,Home,Villarreal,0,2,L
2021-05-16,La Liga,Away,Real Sociedad,1,4,L
2021-05-22,La Liga,Home,Atlético Madrid,1,2,L
