Date,Comp,venue,opponent,goals_for,goals_against,result
2022-08-13,La Liga,Away,Valladolid,3,0,W
2022-08-21,La Liga,Away,Atlético Madrid,2,0,W
2022-08-28,La Liga,Away,Getafe,0,0,D
2022-09-04,La Liga,Home,Elche,4,0,W
2022-09-11,La Liga,Away,Betis,0,1,L
2022-09-18,La Liga,Home,Sevilla,1,1,D
2022-10-01,La Liga,Away,Cádiz,0,0,D
2022-10-09,La Liga,Away,Real Sociedad,0,1,L
2022-10-17,La Liga,Home,Osasuna,2,0,W
2022-10-20,La Liga,Away,Barcelona,0,3,L
2022-10-23,La Liga,Home,Almería,2,1,W
2022-10-30,La Liga,Away,Athletic Club,0,1,L
2022-11-06,La Liga,Home,Mallorca,0,2,L
2022-11-09,La Liga,Away,Espanyol,1,0,W
2022-12-31,La Liga,Home,Valencia,2,1,W
2023-01-07,La Liga,Home,Real Madrid,2,1,W
2023-01-13,La Liga,Away,Celta Vigo,1,1,D
2023-01-22,La Liga,Home,Girona,1,0,W
2023-01-30,La Liga,Home,Rayo Vallecano,0,1,L
2023-02-04,La Liga,Away,Elche,1,3,L
2023-02-12,La Liga,Home,Barcelona,0,1,L
2023-02-18,La Liga,Away,Mallorca,2,4,L
2023-02-27,La Liga,Home,Getafe,2,1,W
2023-03-04,La Liga,Away,Almería,2,0,W
2023-03-12,La Liga,Home,Betis,1,1,D
2023-03-19,La Liga,Away,Osasuna,3,0,W
2023-04-02,La Liga,Home,Real Sociedad,2,0,W
2023-04-08,La Liga,Away,Real Madrid,3,2,W
2023-04-15,La Liga,Home,Valladolid,1,2,L
2023-04-23,La Liga,Away,Sevilla,1,2,L
2023-04-27,La Liga,Home,Espanyol,4,2,W
2023-04-30,La Liga,Home,Celta Vigo,3,1,W
2023-05-03,La Liga,Away,Valencia,1,1,D
2023-05-13,La Liga,Home,Athletic Club,5,1,W
2023-05-20,La Liga,Away,Girona,2,1,W
2023-05-24,La Liga,Home,Cádiz,2,0,W
2023-05-28,La Liga,Away,Rayo Vallecano,1,2,L
2023-06-04,La Liga,Home,Atlético Madrid,2,2,D
