Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-14,La Liga,Away,Cádiz,0,1,L
2023-08-21,La Liga,Home,Sevilla,4,3,W
2023-08-28,La Liga,Away,Getafe,0,1,L
2023-09-02,La Liga,Home,Valencia,1,0,W
2023-09-15,La Liga,Away,Rayo Vallecano,0,2,L
2023-09-22,La Liga,Home,Athletic Club,0,2,L
2023-09-28,La Liga,Away,Celta Vigo,1,1,D
2023-10-01,La Liga,Home,Osasuna,0,2,L
2023-10-08,La Liga,Home,Betis,1,1,D
2023-10-22,La Liga,Away,Villarreal,1,1,D
2023-10-29,La Liga,Away,Atlético Madrid,1,2,L
2023-11-05,La Liga,Home,Almería,1,0,W
2023-11-12,La Liga,Away,Barcelona,1,2,L
2023-11-24,La Liga,Home,Granada,3,1,W
2023-12-03,La Liga,Away,Mallorca,0,0,D
2023-12-09,La Liga,Home,Las Palmas,0,1,L
2023-12-18,La Liga,Away,Girona,0,3,L
2023-12-21,La Liga,Home,Real Madrid,0,1,L
2024-01-02,La Liga,Away,Real Sociedad,1,1,D
2024-01-12,La Liga,Away,Sevilla,3,2,W
2024-01-19,La Liga,Home,Cádiz,1,0,W
2024-01-26,La Liga,Away,Almería,3,0,W
2024-02-03,La Liga,Home,Barcelona,1,3,L
2024-02-10,La Liga,Home,Villarreal,1,1,D
2024-02-18,La Liga,Away,Betis,0,0,D
2024-02-24,La Liga,Home,Mallorca,1,1,D
2024-03-04,La Liga,Away,Osasuna,0,1,L
2024-03-10,La Liga,Home,Rayo Vallecano,1,0,W
2024-03-16,La Liga,Away,Athletic Club,0,2,L
2024-03-31,La Liga,Home,Real Sociedad,0,1,L
2024-04-14,La Liga,Away,Granada,0,2,L
2024-04-21,La Liga,Home,Atlético Madrid,2,0,W
2024-04-27,La Liga,Home,Celta Vigo,3,0,W
2024-05-05,La Liga,Away,Valencia,1,0,W
2024-05-10,La Liga,Home,Girona,2,2,D
2024-05-14,La Liga,Away,Real Madrid,0,5,L
2024-05-18,La Liga,Home,Getafe,1,0,W
2024-05-26,La Liga,Away,Las Palmas,1,1,D
