Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-14,La Liga,Home,Alavés,1,0,W
2023-08-20,La Liga,Away,Barcelona,0,2,L
2023-08-26,La Liga,Home,Almería,1,1,D
2023-09-01,La Liga,Home,Villarreal,3,1,W
2023-09-16,La Liga,Away,Athletic Club,0,3,L
2023-09-24,La Liga,Away,Betis,1,1,D
2023-09-27,La Liga,Home,Rayo Vallecano,0,0,D
2023-10-01,La Liga,Away,Atlético Madrid,2,3,L
2023-10-07,La Liga,Home,Girona,0,1,L
2023-10-23,La Liga,Away,Valencia,0,2,L
2023-10-28,La Liga,Home,Sevilla,2,2,D
2023-11-06,La Liga,Away,Getafe,0,1,L
2023-11-26,La Liga,Home,Real Madrid,0,3,L
2023-11-29,La Liga,Away,Mallorca,1,1,D
2023-12-04,La Liga,Away,Celta Vigo,1,1,D
2023-12-10,La Liga,Home,Osasuna,1,1,D
2023-12-17,La Liga,Away,Las Palmas,1,1,D
2023-12-21,La Liga,Home,Real Sociedad,0,0,D
2024-01-03,La Liga,Away,Granada,0,2,L
2024-01-14,La Liga,Home,Valencia,1,4,L
2024-01-19,La Liga,Away,Alavés,0,1,L
2024-01-28,La Liga,Home,Athletic Club,0,0,D
2024-02-04,La Liga,Away,Villarreal,0,0,D
2024-02-09,La Liga,Home,Betis,0,2,L
2024-02-17,La Liga,Away,Osasuna,0,2,L
2024-02-25,La Liga,Home,Celta Vigo,2,2,D
2024-03-02,La Liga,Away,Rayo Vallecano,1,1,D
2024-03-09,La Liga,Home,Atlético Madrid,2,0,W
2024-03-15,La Liga,Away,Real Sociedad,0,2,L
2024-03-29,La Liga,Home,Granada,1,0,W
2024-04-13,La Liga,Home,Barcelona,0,1,L
2024-04-20,La Liga,Away,Girona,1,4,L
2024-04-28,La Liga,Home,Mallorca,1,1,D
2024-05-04,La Liga,Away,Real Madrid,0,3,L
2024-05-12,La Liga,Home,Getafe,1,0,W
2024-05-15,La Liga,Away,Sevilla,1,0,W
2024-05-19,La Liga,Home,Las Palmas,0,0,D
2024-05-25,La Liga,Away,Almería,1,6,L
