Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-12,La Liga,Away,Las Palmas,1,1,D
2023-08-18,La Liga,Home,Villarreal,0,1,L
2023-08-26,La Liga,Away,Granada,2,3,L
2023-09-03,La Liga,Home,Athletic Club,0,0,D
2023-09-16,La Liga,Away,Celta Vigo,1,0,W
2023-09-23,La Liga,Away,Girona,3,5,L
2023-09-26,La Liga,Home,Barcelona,2,2,D
2023-09-30,La Liga,Away,Rayo Vallecano,2,2,D
2023-10-07,La Liga,Home,Valencia,1,1,D
2023-10-21,La Liga,Away,Real Sociedad,0,1,L
2023-10-28,La Liga,Home,Getafe,0,0,D
2023-11-04,La Liga,Away,Betis,0,2,L
2023-11-25,La Liga,Away,Atlético Madrid,0,1,L
2023-11-29,La Liga,Home,Cádiz,1,1,D
2023-12-03,La Liga,Home,Alavés,0,0,D
2023-12-09,La Liga,Home,Sevilla,1,0,W
2023-12-17,La Liga,Away,Almería,0,0,D
2023-12-21,La Liga,Home,Osasuna,3,2,W
2024-01-03,La Liga,Away,Real Madrid,0,1,L
2024-01-13,La Liga,Home,Celta Vigo,1,1,D
2024-01-20,La Liga,Away,Villarreal,1,1,D
2024-01-27,La Liga,Home,Betis,0,1,L
2024-02-02,La Liga,Away,Athletic Club,0,4,L
2024-02-11,La Liga,Home,Rayo Vallecano,2,1,W
2024-02-18,La Liga,Home,Real Sociedad,1,2,L
2024-02-24,La Liga,Away,Alavés,1,1,D
2024-03-03,La Liga,Home,Girona,1,0,W
2024-03-08,La Liga,Away,Barcelona,0,1,L
2024-03-16,La Liga,Home,Granada,1,0,W
2024-03-30,La Liga,Away,Valencia,0,0,D
2024-04-13,La Liga,Home,Real Madrid,0,1,L
2024-04-22,La Liga,Away,Sevilla,1,2,L
2024-04-28,La Liga,Away,Cádiz,1,1,D
2024-05-04,La Liga,Home,Atlético Madrid,0,1,L
2024-05-11,La Liga,Home,Las Palmas,1,0,W
2024-05-14,La Liga,Away,Osasuna,1,1,D
2024-05-19,La Liga,Home,Almería,2,2,D
2024-05-26,La Liga,Away,Getafe,2,1,W
