Date,Comp,venue,opponent,goals_for,goals_against,result
2023-08-11,La Liga,Away,Sevilla,2,1,W
2023-08-18,La Liga,Home,Las Palmas,1,0,W
2023-08-27,La Liga,Home,Osasuna,1,2,L
2023-09-02,La Liga,Away,Alavés,0,1,L
2023-09-16,La Liga,Home,Atlético Madrid,3,0,W
2023-09-23,La Liga,Away,Almería,2,2,D
2023-09-27,La Liga,Home,Real Sociedad,0,1,L
2023-10-01,La Liga,Away,Betis,0,3,L
2023-10-07,La Liga,Away,Mallorca,1,1,D
2023-10-23,La Liga,Home,Cádiz,2,0,W
2023-10-29,La Liga,Away,Athletic Club,2,2,D
2023-11-05,La Liga,Home,Granada,1,0,W
2023-11-11,La Liga,Away,Real Madrid,1,5,L
2023-11-25,La Liga,Home,Celta Vigo,0,0,D
2023-12-02,La Liga,Away,Girona,1,2,L
2023-12-08,La Liga,Away,Getafe,0,1,L
2023-12-16,La Liga,Home,Barcelona,1,1,D
2023-12-19,La Liga,Away,Rayo Vallecano,1,0,W
2024-01-02,La Liga,Home,Villarreal,3,1,W
2024-01-14,La Liga,Away,Cádiz,4,1,W
2024-01-20,La Liga,Home,Athletic Club,1,0,W
2024-01-28,La Liga,Away,Atlético Madrid,0,2,L
2024-02-03,La Liga,Home,Almería,2,1,W
2024-02-10,La Liga,Away,Las Palmas,0,2,L
2024-02-17,La Liga,Home,Sevilla,0,0,D
2024-03-02,La Liga,Home,Real Madrid,2,2,D
2024-03-09,La Liga,Home,Getafe,1,0,W
2024-03-17,La Liga,Away,Villarreal,0,1,L
2024-03-30,La Liga,Home,Mallorca,0,0,D
2024-04-04,La Liga,Away,Granada,1,0,W
2024-04-15,La Liga,Away,Osasuna,1,0,W
2024-04-20,La Liga,Home,Betis,1,2,L
2024-04-29,La Liga,Away,Barcelona,2,4,L
2024-05-05,La Liga,Home,Alavés,0,1,L
2024-05-12,La Liga,Home,Rayo Vallecano,0,0,D
2024-05-16,La Liga,Away,Real Sociedad,0,1,L
2024-05-19,La Liga,Home,Girona,1,3,L
2024-05-26,La Liga,Away,Celta Vigo,2,2,D
