Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-17,La Liga,Away,Valencia,2,1,W
2024-08-24,La Liga,Home,Athletic Club,2,1,W
2024-08-27,La Liga,Away,Rayo Vallecano,2,1,W
2024-08-31,La Liga,Home,Valladolid,7,0,W
2024-09-15,La Liga,Away,Girona,4,1,W
2024-09-22,La Liga,Away,Villarreal,5,1,W
2024-09-25,La Liga,Home,Getafe,1,0,W
2024-09-28,La Liga,Away,Osasuna,2,4,L
2024-10-06,La Liga,Away,Alavés,3,0,W
2024-10-20,La Liga,Home,Sevilla,5,1,W
2024-10-26,La Liga,Away,Real Madrid,4,0,W
2024-11-03,La Liga,Home,Espanyol,3,1,W
2024-11-10,La Liga,Away,Real Sociedad,0,1,L
2024-11-23,La Liga,Away,Celta Vigo,2,2,D
2024-11-30,La Liga,Home,Las Palmas,1,2,L
2024-12-03,La Liga,Away,Mallorca,5,1,W
2024-12-07,La Liga,Away,Betis,2,2,D
2024-12-15,La Liga,Home,Leganés,0,1,L
2024-12-21,La Liga,Home,Atlético Madrid,1,2,L
2025-01-18,La Liga,Away,Getafe,1,1,D
2025-01-26,La Liga,Home,Valencia,7,1,W
2025-02-02,La Liga,Home,Alavés,1,0,W
2025-02-09,La Liga,Away,Sevilla,4,1,W
2025-02-17,La Liga,Home,Rayo Vallecano,1,0,W
2025-02-22,La Liga,Away,Las Palmas,2,0,W
2025-03-02,La Liga,Home,Real Sociedad,4,0,W
2025-03-16,La Liga,Away,Atlético Madrid,4,2,W
2025-03-27,La Liga,Home,Osasuna,3,0,W
2025-03-30,La Liga,Home,Girona,4,1,W
2025-04-05,La Liga,Home,Betis,1,1,D
2025-04-12,La Liga,Away,Leganés,1,0,W
2025-04-19,La Liga,Home,Celta Vigo,4,3,W
2025-04-22,La Liga,Home,Mallorca,1,0,W
2025-05-03,La Liga,Away,Valladolid,2,1,W
2025-05-11,La Liga,Home,Real Madrid,4,3,W
2025-05-15,La Liga,Away,Espanyol,2,0,W
2025-05-18,La Liga,Home,Villarreal,2,3,L
2025-05-25,La Liga,Away,Athletic Club,3,0,W
