Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-16,La Liga,Home,Sevilla,2,2,D
2024-08-25,La Liga,Away,Leganés,1,2,L
2024-08-29,La Liga,Home,Real Madrid,1,1,D
2024-09-01,La Liga,Away,Alavés,0,2,L
2024-09-15,La Liga,Home,Athletic Club,2,3,L
2024-09-21,La Liga,Away,Osasuna,1,2,L
2024-09-26,La Liga,Home,Betis,1,1,D
2024-09-30,La Liga,Away,Villarreal,1,3,L
2024-10-05,La Liga,Home,Celta Vigo,0,1,L
2024-10-21,La Liga,Away,Valencia,3,2,W
2024-10-26,La Liga,Home,Girona,1,0,W
2024-11-03,La Liga,Away,Atlético Madrid,0,2,L
2024-11-08,La Liga,Away,Rayo Vallecano,3,1,W
2024-11-23,La Liga,Home,Mallorca,2,3,L
2024-11-30,La Liga,Away,Barcelona,2,1,W
2024-12-07,La Liga,Home,Valladolid,2,1,W
2024-12-15,La Liga,Away,Real Sociedad,0,0,D
2024-12-22,La Liga,Home,Espanyol,1,0,W
2025-01-12,La Liga,Home,Getafe,1,2,L
2025-01-19,La Liga,Away,Real Madrid,1,4,L
2025-01-24,La Liga,Home,Osasuna,1,1,D
2025-02-03,La Liga,Away,Girona,1,2,L
2025-02-08,La Liga,Home,Villarreal,1,2,L
2025-02-16,La Liga,Away,Mallorca,1,3,L
2025-02-22,La Liga,Home,Barcelona,0,2,L
2025-02-28,La Liga,Away,Valladolid,1,1,D
2025-03-09,La Liga,Away,Betis,0,1,L
2025-03-14,La Liga,Home,Alavés,2,2,D
2025-03-31,La Liga,Away,Celta Vigo,1,1,D
2025-04-06,La Liga,Home,Real Sociedad,1,3,L
2025-04-12,La Liga,Away,Getafe,3,1,W
2025-04-19,La Liga,Home,Atlético Madrid,1,0,W
2025-04-23,La Liga,Away,Athletic Club,0,1,L
2025-05-03,La Liga,Home,Valencia,2,3,L
2025-05-09,La Liga,Home,Rayo Vallecano,0,1,L
2025-05-13,La Liga,Away,Sevilla,0,1,L
2025-05-18,La Liga,Home,Leganés,0,1,L
2025-05-24,La Liga,Away,Espanyol,0,2,L
