Date,Comp,venue,opponent,goals_for,goals_against,result
2024-08-17,La Liga,Away,Osasuna,1,1,D
2024-08-25,La Liga,Home,Las Palmas,2,1,W
2024-08-28,La Liga,Away,Valladolid,0,0,D
2024-08-31,La Liga,Home,Mallorca,0,1,L
2024-09-13,La Liga,Away,Betis,0,2,L
2024-09-19,La Liga,Home,Athletic Club,0,2,L
2024-09-22,La Liga,Away,Getafe,1,1,D
2024-09-28,La Liga,Away,Rayo Vallecano,1,1,D
2024-10-04,La Liga,Home,Valencia,0,0,D
2024-10-20,La Liga,Away,Atlético Madrid,1,3,L
2024-10-27,La Liga,Home,Celta Vigo,3,0,W
2024-11-02,La Liga,Away,Girona,3,4,L
2024-11-09,La Liga,Home,Sevilla,1,0,W
2024-11-24,La Liga,Home,Real Madrid,0,3,L
2024-11-30,La Liga,Away,Alavés,1,1,D
2024-12-08,La Liga,Home,Real Sociedad,0,3,L
2024-12-15,La Liga,Away,Barcelona,1,0,W
2024-12-22,La Liga,Home,Villarreal,2,5,L
2025-01-11,La Liga,Away,Espanyol,1,1,D
2025-01-18,La Liga,Home,Atlético Madrid,1,0,W
2025-01-26,La Liga,Away,Athletic Club,0,0,D
2025-01-31,La Liga,Home,Rayo Vallecano,0,1,L
2025-02-09,La Liga,Away,Valencia,0,2,L
2025-02-15,La Liga,Home,Alavés,3,3,D
2025-02-23,La Liga,Away,Real Sociedad,0,3,L
2025-03-02,La Liga,Home,Getafe,1,0,W
2025-03-08,La Liga,Away,Celta Vigo,1,2,L
2025-03-16,La Liga,Home,Betis,2,3,L
2025-03-29,La Liga,Away,Real Madrid,2,3,L
2025-04-07,La Liga,Home,Osasuna,1,1,D
2025-04-12,La Liga,Home,Barcelona,0,1,L
2025-04-19,La Liga,Away,Mallorca,0,0,D
2025-04-24,La Liga,Home,Girona,1,1,D
2025-05-04,La Liga,Away,Sevilla,2,2,D
2025-05-11,La Liga,Home,Espanyol,3,2,W
2025-05-14,La Liga,Away,Villarreal,0,3,L
2025-05-18,La Liga,Away,Las Palmas,1,0,W
2025-05-24,La Liga,Home,Valladolid,3,0,W
