Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-09-12,18:30,La Liga,Matchweek 1,Sat,Home,W,2,0,Athletic Club,0.4,0.5,40.0,,Germán Sánchez,4-2-3-1,4-2-3-1,Antonio Matéu Lahoz,Match Report,
2020-09-17,16:00,Europa Lg,Second qualifying round,Thu,Away,W,4,0,al Teuta Durrës,,,,,Víctor Díaz,4-2-3-1,4-2-3-1,Willy Delajod,Match Report,
2020-09-20,18:30,La Liga,Matchweek 2,Sun,Home,W,2,1,Alavés,2.2,0.7,56.0,,Roberto Soldado,4-2-3-1,3-5-2,Carlos del Cerro,Match Report,
2020-09-24,20:00,Europa Lg,Third qualifying round,Thu,Home,W,2,0,ge Lokomotivi Tbilisi,,,,,Víctor Díaz,4-2-3-1,4-3-3,Serdar Gözübüyük,Match Report,
2020-09-27,16:00,La Liga,Matchweek 3,Sun,Away,L,1,6,Atlético Madrid,1.6,3.3,45.0,,Víctor Díaz,4-2-3-1,4-4-2,Javier Estrada,Match Report,
2020-10-01,19:00,Europa Lg,Play-off round,Thu,Away,W,3,1,se Malmö,,,56.0,,Víctor Díaz,4-1-4-1,4-4-2,Danny Makkelie,Match Report,
2020-10-04,18:30,La Liga,Matchweek 5,Sun,Away,D,1,1,Cádiz,0.6,1.0,58.0,,Germán Sánchez,4-2-3-1,4-4-2,Alberola Rojas,Match Report,
2020-10-17,13:00,La Liga,Matchweek 6,Sat,Home,W,1,0,Sevilla,1.3,0.6,52.0,,Germán Sánchez,4-1-4-1,4-3-3,Pablo González,Match Report,
2020-10-22,18:55,Europa Lg,Group stage,Thu,Away,W,2,1,nl PSV Eindhoven,2.0,0.5,45.0,,Germán Sánchez,4-1-4-1,4-4-2,Felix Zwayer,Match Report,
2020-10-25,18:30,La Liga,Matchweek 7,Sun,Away,W,1,0,Getafe,1.1,0.9,35.0,,Germán Sánchez,4-1-4-1,4-4-2,Jesús Gil,Match Report,
2020-10-29,21:00,Europa Lg,Group stage,Thu,Home,D,0,0,gr PAOK,0.5,0.5,55.0,,Germán Sánchez,4-1-4-1,3-4-3,Tiago Martins,Match Report,
2020-11-01,18:30,La Liga,Matchweek 8,Sun,Home,D,1,1,Levante,0.2,0.9,30.0,,Germán Sánchez,4-2-3-1,4-4-2,Santiago Jaime,Match Report,
2020-11-05,19:55,Europa Lg,Group stage,Thu,Away,W,2,0,cy AC Omonia,0.9,0.6,60.0,,Germán Sánchez,4-1-4-1,4-2-3-1,Ivan Bebek,Match Report,
2020-11-08,16:15,La Liga,Matchweek 9,Sun,Away,L,0,2,Real Sociedad,0.8,3.4,28.0,,Roberto Soldado,4-2-3-1,4-1-4-1,Carlos del Cerro,Match Report,
2020-11-22,18:30,La Liga,Matchweek 10,Sun,Home,L,1,3,Valladolid,1.5,1.3,60.0,,Germán Sánchez,4-2-3-1,4-4-2,David Medié,Match Report,
2020-11-26,21:00,Europa Lg,Group stage,Thu,Home,W,2,1,cy AC Omonia,1.6,0.4,64.0,,Roberto Soldado,4-1-4-1,3-4-3,Stéphanie Frappart,Match Report,
2020-11-29,18:30,La Liga,Matchweek 11,Sun,Away,L,1,3,Celta Vigo,1.6,4.2,33.0,,Germán Sánchez,3-4-3,4-1-3-2,Isidro Díaz de Mera,Match Report,
2020-12-03,21:00,Europa Lg,Group stage,Thu,Home,L,0,1,nl PSV Eindhoven,1.0,1.3,49.0,,Germán Sánchez,4-1-4-1,4-4-2,Roi Reinshreiber,Match Report,
2020-12-06,14:00,La Liga,Matchweek 12,Sun,Home,D,3,3,Huesca,1.5,1.5,48.0,,Germán Sánchez,4-2-3-1,4-1-4-1,Alberola Rojas,Match Report,
2020-12-10,19:55,Europa Lg,Group stage,Thu,Away,D,0,0,gr PAOK,1.3,0.9,50.0,,Germán Sánchez,4-2-3-1,4-3-3,John Beaton,Match Report,
2020-12-13,18:30,La Liga,Matchweek 13,Sun,Away,W,1,0,Elche,1.6,0.6,33.0,,Roberto Soldado,4-1-4-1,4-1-4-1,Pablo González,Match Report,
2020-12-17,19:00,Copa del Rey,First round,Thu,Away,W,2,0,AD San Juan,,,,80.0,Germán Sánchez,4-2-3-1,4-4-2,Alejandro Hernández,Match Report,
2020-12-20,16:15,La Liga,Matchweek 14,Sun,Home,W,2,0,Betis,1.4,0.8,31.0,,Germán Sánchez,4-3-3,4-2-3-1,José Sánchez,Match Report,
2020-12-23,19:45,La Liga,Matchweek 15,Wed,Away,L,0,2,Real Madrid,0.8,1.8,34.0,,Roberto Soldado,4-1-4-1,4-3-3,Juan Martínez,Match Report,
2020-12-30,17:00,La Liga,Matchweek 16,Wed,Home,W,2,1,Valencia,2.2,1.5,53.0,,Germán Sánchez,4-2-3-1,4-4-2,Adrián Cordero,Match Report,
2021-01-03,18:30,La Liga,Matchweek 17,Sun,Away,L,0,2,Eibar,0.9,1.9,44.0,,Germán Sánchez,4-4-2,4-4-2,Antonio Matéu Lahoz,Match Report,
2021-01-06,17:00,Copa del Rey,Second round,Wed,Away,W,2,1,Leonesa,,,49.0,,Jorge Molina,4-4-2,3-5-2,Javier Estrada,Match Report,Required Extra Time
2021-01-09,18:30,La Liga,Matchweek 18,Sat,Home,L,0,4,Barcelona,0.5,0.9,28.0,,Germán Sánchez,4-2-3-1,4-3-3,Ricardo de Burgos,Match Report,
2021-01-12,19:00,La Liga,Matchweek 4,Tue,Home,W,2,0,Osasuna,0.8,0.7,41.0,,Germán Sánchez,4-2-3-1,4-4-1-1,Pablo González,Match Report,
2021-01-17,12:00,Copa del Rey,Round of 32,Sun,Away,W,2,1,Málaga,,,45.0,,Jorge Molina,4-2-3-1,4-1-4-1,Carlos del Cerro,Match Report,
2021-01-20,21:30,La Liga,Matchweek 19,Wed,Away,D,2,2,Villarreal,0.2,2.4,32.0,,Germán Sánchez,4-1-4-1,4-3-3,Valentín Pizarro,Match Report,
2021-01-24,14:00,La Liga,Matchweek 20,Sun,Away,L,1,3,Osasuna,0.7,1.7,52.0,,Germán Sánchez,4-2-3-1,4-3-3,Javier Estrada,Match Report,
2021-01-28,19:00,Copa del Rey,Round of 16,Thu,Away,W,6,0,Navalcarnero,,,40.0,,Víctor Díaz,4-2-3-1,4-4-2,Alberola Rojas,Match Report,
2021-01-31,18:30,La Liga,Matchweek 21,Sun,Home,D,0,0,Celta Vigo,0.3,0.6,36.0,,Ángel Montoro,4-2-3-1,4-1-3-2,Carlos del Cerro,Match Report,
2021-02-03,21:00,Copa del Rey,Quarter-finals,Wed,Home,L,3,5,Barcelona,,,21.0,,Víctor Díaz,4-2-3-1,4-3-3,José Sánchez,Match Report,Required Extra Time
2021-02-06,14:00,La Liga,Matchweek 22,Sat,Away,D,2,2,Levante,1.2,1.4,40.0,,Ángel Montoro,3-4-3,4-4-2,Adrián Cordero,Match Report,
2021-02-13,14:00,La Liga,Matchweek 23,Sat,Home,L,1,2,Atlético Madrid,0.7,0.7,40.0,,Germán Sánchez,5-4-1,3-1-4-2,Antonio Matéu Lahoz,Match Report,
2021-02-18,21:00,Europa Lg,Round of 32,Thu,Home,W,2,0,it Napoli,1.4,1.0,39.0,,Ángel Montoro,4-3-3,4-3-3,Sergey Karasev,Match Report,Leg 1 of 2
